Data ID,Classification,Confidence Score,Detailed Justification
D401,Warning,0.85,Wire transfer request with sender spoof detected and high temp email likelihood (0.394). Failed SPF and DMARC with moderate SMTP geo risk (0.243). While no malware present the spoofing combined with financial request type requires careful verification.
D402,Malicious,0.92,DMARC enforced with gift card request showing PowerShell and regsvr32 execution. High behavioral sandbox score (0.228) with extreme exfiltration behavior (0.552). Failed SPF and DMARC confirms sophisticated BEC attack attempt.
D403,Malicious,0.90,DMARC enforced with high temp email likelihood (0.229) and behavioral sandbox score (0.365). Excel parent process with high SMTP ASN reputation risk (0.909). Failed DKIM and URL reputation concerns (0.856) confirm advanced attack.
D404,Warning,0.80,Extremely high temp email likelihood (0.773) with PowerShell execution but low behavioral scores. High SMTP geo risk (0.501) and 4 URLs detected. Failed authentication suggests monitoring required despite no direct malware.
D405,No Action,0.85,Invoice verification with minimal risk indicators. Clean behavioral profile with passing SPF. Low risk scores across all metrics suggest legitimate invoice communication with standard monitoring.
D406,Malicious,0.88,Return path known malicious with extreme exfiltration behavior (0.958). PowerShell execution with embedded files and DNS morphing detected. Failed SPF and DMARC with domain tech stack issues confirms phishing attempt.
D407,Warning,0.82,IOC count detected with PowerShell and regsvr32 execution. Self-signed SSL certificate with domain known malicious flag. While behavioral scores moderate the IOC and process execution warrant careful monitoring.
D408,Warning,0.78,Wire transfer request with high SMTP reputation risk (0.875) and URL rendering behavior score (0.578). Link rewritten through redirector with token validation success but QR code marked malicious requires caution.
D409,No Action,0.80,Clean profile with revoked SSL certificate but minimal other risks. Failed SPF but low behavioral scores and no malicious content. Certificate issue likely administrative rather than malicious.
D410,Warning,0.75,High reply path reputation concerns (0.782) with URL reputation risk (0.567). Token validation success but failed DMARC. Mixed signals suggest monitoring required despite no direct malware.
D411,Warning,0.70,High SMTP geo risk (0.851) and ASN reputation concerns (0.662) with SSL mismatch. 4 URLs detected with moderate URL reputation risk (0.290). Infrastructure concerns warrant monitoring.
D412,Spam,0.85,Gift card request with extremely high temp email likelihood (0.462) and high URL rendering behavior score (0.418). Image only email flag with failed DKIM confirms spam/scam attempt.
D413,Warning,0.88,Wire transfer request with 7 YARA rule matches but low behavioral scores. High exfiltration behavior (0.448) with clean authentication. YARA matches require investigation despite passing checks.
D414,Malicious,0.95,Document download with executable attachment and extreme metadata suspicious score (0.922). YARA rule match with high exfiltration behavior (0.500). Image only email with high URL rendering score confirms malware delivery.
D415,Spam,0.80,Extremely high sender reputation (0.852) and temp email likelihood (0.601) with high SMTP ASN risks (0.920/0.941). Token validation success but neutral SPF suggests bulk spam distribution.
D416,No Action,0.85,Sensitive data request with minimal risk indicators. Clean behavioral profile with passing SPF and failed DKIM. Low risk scores suggest legitimate request requiring standard verification.
D417,Malicious,0.98,Meeting request with unscannable attachment and extreme behavioral sandbox score (0.891). Very high exfiltration behavior (0.880) with URL reputation risk (0.926). Failed DMARC confirms sophisticated attack.
D418,Warning,0.85,High return path reputation risk (0.800) with reply path known malicious. AMSI score (0.387) with self-signed certificate. Failed DMARC with moderate risks warrants enhanced monitoring.
D419,No Action,0.90,Clean profile with excellent sender reputation (0.950). Domain known malicious flag but all other indicators benign. Passing authentication suggests false positive on domain flag.
D420,Malicious,0.94,Legal threat with extreme behavioral sandbox score (0.447) and exfiltration behavior (0.952). Self-signed SSL certificate with embedded file. Failed SPF confirms social engineering with technical threats.
