Unnamed: 0,File?,Data ,sender_known_malicios,sender_domain_reputation_score(float),sender_spoof_detected(bool),sender_temp_email_likelihood(float),dmarc_enforced(bool),packer_detected(bool),any_file_hash_malicious(bool),max_metadata_suspicious_score(float),malicious_attachment_Count(int),has_executable_attachment(bool),unscannable_attachment_present(bool),Authentication & Identity Assurance,total_yara_match_count(int),total_ioc_count(int),max_behavioral_sandbox_score(float),max_amsi_suspicion_score(float),any_macro_enabled_document(bool),any_vbscript_javascript_detected(bool),any_active_x_objects_detected(bool),any_network_call_on_open(bool),max_exfiltration_behavior_score(float),any_exploit_pattern_detected(bool),total_embedded_file_count(int),max_suspicious_string_entropy_score(float),max_sandbox_execution_time(float),unique_parent_process_names(categorical),return_path_mismatch_with_from(bool),return_path_known_malicious(bool),return_path_reputation_score(float),reply_path_known_malicious(bool),reply_path_diff_from_sender(bool),reply_path_reputation_Score(float),smtp_ip_known_malicious(bool),smtp_ip_geo(Float),smtp_ip_asn(categorical),smtp_ip_reputation_score(float),domain_known_malicious(bool),url_Count(int),dna_morphing_detected(bool),domain_tech_stack_match_score(float),is_high_risk_role_targeted(bool),sender_name_similarity_to_vip(float),urgency_keywords_present(bool),request_type(categorical),content_spam_score(float),user_marked_as_spam_before(bool),bulk_message_indicator(bool),unsubscribe_link_present(bool),marketing-keywords_detected(bool),html_text_ratio(float),image_only_email(bool),spf_result(enum),dkim_result(enum),dmarc_result(enum),reverse_dns_valid(bool),tls_version(ctegorical),total_links_detected(int),url_shortener_detected(bool),url_redirect_chain_length(int),final_url_known_malicious(bool),url_decoded_spoof_detected(bool),url_reputation_score(float),ssl_validity_status(enum),site_visual_similarity_to_known_brand(float),url_rendering_behavior_score(float),link_rewritten_through_redirector(bool),token_validation_success(bool),Analysis_of_the_qrcode_if_present(verdict-malicious or non-malicious)
1350,0.0,D93,0,0.6894101075811876,0,0.0017841494661972,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,1.5141405670916284e-05,0,0,1.8557457063644005e-05,0,0.1025351914210189,0.0015639883328496,0.5072166706745345,0,0,0,1.0,0,0.1547195819658347,0,sensitive_data_request,5.496368305313731e-11,0,0,0,0,0.0,0,pass,policy,none,1,TLS 1.3,0,0,0,0,0,0.3509130180616227,self signed,0.0069380750596966,9.99188480539181e-06,0,1,0
1351,1.0,D94,0,0.0008842910185471,0,2.0863249049375727e-08,0,0,0,0.2714596925319476,0,0,0,0,0,0,0.0257940431654568,0.0077092126098684,0,0,0,0,0.0852943224982558,0,0,5,2.500561694193788e-191,"[""winword.exe""]",0,0,1.4612566448904391e-09,0,0,0.0004464046297868,1,0.0025975200975793,0.2854802228801568,0.0569963174517092,0,0,0,0.0,0,0.8277322182907897,0,meeting_request,1.709947374552183e-25,0,0,0,0,0.0,0,pass,policy,fail,1,TLS 1.1,0,0,0,0,0,0.4958160695690221,valid,0.0185370001297429,0.0176587443633446,0,1,0
1352,1.0,D95,0,2.120781344480505e-14,0,0.0025851770485096,1,0,0,0.0092412390351879,0,0,0,0,0,0,1.5384066454771411e-13,0.0034855008512752,0,0,0,0,0.8464498481734555,0,0,6,6.940310814371102e-19,"[""winword.exe""]",0,0,4.3987534131046986e-05,1,0,6.98290326868533e-14,0,0.0190005520039198,0.6276173355100826,0.0055564068808645,0,0,0,1.0,0,0.1226406436667549,0,none,9.869798820498472e-08,0,0,0,0,0.0,0,pass,neutral,none,1,TLS 1.3,0,0,0,0,0,0.1713980685141327,self signed,0.0509158783843675,7.547376313398572e-10,0,1,0
1353,0.0,D96,0,0.000689369522834,0,3.698528182802596e-05,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.3511601349761201,0,0,7.14053351155992e-08,0,0.0333443281632301,0.0048326015912686,0.0294231756691361,0,0,0,0.5,0,2.208029487168959e-05,0,none,1.729107219730276e-05,0,0,0,0,0.0,0,softfail,neutral,pass,1,TLS 1.3,1,0,0,0,0,4.8784901709378896e-05,expired,0.0143335323301189,1.2237535447948936e-07,0,1,0
1354,1.0,D97,0,0.0028848780713644,0,0.2030979107255835,0,0,0,0.0284119302346708,0,0,0,0,0,0,0.02260625964398,0.00014516734839,0,0,0,0,0.9392897587203956,0,0,4,4.0626505633125533e-168,"[""outlook.exe""]",0,0,0.0149458531196518,0,0,0.0215675362607714,0,0.0397077449342571,0.1867464254072811,0.0002290990050062,0,0,0,1.0,0,0.8715288824565915,0,legal_threat,0.0001490912367078,0,0,0,0,0.0,0,pass,pass,none,1,TLS 1.3,0,0,0,0,0,0.0001956869221906,self signed,0.0002150531889267,0.1619757858476244,0,1,0
1355,1.0,D98,0,2.346815991160059e-05,0,0.0064009101758252,0,0,0,1.7220834396671117e-06,0,0,0,0,0,0,4.774676514973823e-13,0.7538044750149815,0,0,0,0,0.5291956568187992,0,0,4,5.218546192308142e-72,"[""acrobat.exe""]",0,0,0.3456962487144532,0,0,0.1456816628659713,0,0.0295070031977299,0.3408464782478442,0.0002855092142277,0,0,0,0.0,0,0.0022651565667306,0,link_click,0.1048015695409177,0,0,0,0,0.0,0,pass,none,none,1,TLS 1.3,0,0,0,0,0,9.042235104287476e-05,valid,0.0001467973799801,0.000298739815,0,1,0
1356,0.0,D99,0,0.2313622146685502,0,6.23090108824997e-10,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,1.000386170563898e-07,0,0,0.0010366707989111,0,0.97864702115269,2.838039067134154e-07,0.5027436449759616,0,0,0,1.0,0,0.0918883516209329,0,bank_detail_update,1.9399741514567522e-07,0,0,0,0,0.0,0,pass,none,fail,1,TLS 1.2,1,0,1,0,0,6.217942696679156e-05,valid,1.1831164732076362e-09,0.151540858432,0,1,0
1357,1.0,D100,0,2.181945303204106e-05,0,0.0005561908341832,1,0,0,0.0002054758524891,2,0,0,4,6,0,0.2466981173594087,0.2764629419242039,0,0,0,1,0.4498337704246875,0,1,6,6.390928017783205e-173,"[""winword.exe"", ""powershell.exe""]",0,0,4.008606338010396e-10,0,0,1.532796822066864e-12,0,1.779439059452349e-08,0.121589834361082,4.841510180120115e-07,0,0,0,0.5,0,0.0007294211834826,0,vpn_or_mfa_reset,0.7782485193762877,0,0,0,0,0.0,0,fail,fail,fail,1,TLS 1.3,0,0,0,0,0,0.0522739275767923,valid,3.373076432921375e-07,2.7395826871620266e-08,0,1,0
1358,0.0,D78,0,2.5063617917075125e-06,0,5.816369376863895e-08,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0119225697267961,0,0,0.0322642977597051,0,0.4925255857751659,1.0771680424209185e-05,0.0105349503706642,0,0,0,0.5,0,2.5390342625712366e-11,0,wire_transfer,0.8191175248684878,0,0,0,0,0.0,0,pass,none,pass,1,TLS 1.2,0,0,0,0,0,0.0053043930705606,valid,0.0006370984089736,0.0040154347882862,0,1,0
1359,1.0,D79,0,0.2149907345079416,0,0.0272073268953608,0,0,0,0.6150796359486189,0,0,0,0,0,0,0.074569745935232,0.04138135799918,0,0,0,0,0.921277806449539,0,0,4,6.304507000121472e-08,"[""winword.exe"", ""powershell.exe"", ""regsvr32.exe""]",0,0,5.885860749181981e-06,0,0,0.0073107245605172,0,0.0104000143475147,8.406863727163791e-07,0.524264211524645,0,0,0,0.5,0,2.1390896594164998e-05,0,gift_card_request,0.0009741429015186,0,0,0,0,0.0,0,softfail,temperror,fail,1,TLS 1.2,0,0,0,0,0,0.00335121026136,valid,0.5142783087908231,0.0005438307072934,0,1,0
