Data ID,Classification,Confidence Score,Detailed Justification
D91,Malicious,0.94,"Email demonstrates critical malicious behavior: sender_known_malicious flag in File? field (1.0) confirms threat actor; significant max_metadata_suspicious_score (0.046) with IOC count (2) indicates weaponized attachments correlated with known threats; winword.exe execution with extremely high max_exfiltration_behavior_score (0.979) confirms sophisticated data theft malware; document_download social engineering with failed authentication; self-signed SSL certificate indicates compromised infrastructure requiring immediate blocking."
D92,Warning,0.78,"Email shows concerning patterns requiring monitoring: high sender domain reputation (0.302) raises significant concerns; failed SPF and DMARC authentication suggests potential spoofing; high targeted role flag (1.0) indicates potential spear-phishing; no malicious attachments detected but authentication failures combined with poor sender reputation warrant careful observation; insufficient definitive evidence for immediate blocking but requires enhanced scrutiny."
D93,Warning,0.72,"Email requires monitoring due to mixed indicators: high temporary email likelihood (0.266) suggests disposable email usage; sensitive_data_request type indicates potential social engineering; expired SSL certificate indicates poor security posture; passed SPF authentication provides some validation but high HTML text ratio (1.1) and authentication inconsistencies warrant careful observation; insufficient evidence for blocking but requires monitoring."
D94,Malicious,0.90,"Email exhibits multiple critical malicious indicators: sender_known_malicious flag in File? field (1.0) confirms threat actor; high max_metadata_suspicious_score (0.255) with IOC count (4) indicates weaponized attachments correlated with known threat campaigns; winword.exe execution with sandbox score confirms document-based malware; meeting_request social engineering commonly used in targeted attacks; failed DMARC authentication with high site visual similarity (0.815) requires immediate blocking."
D95,Malicious,0.91,"Email demonstrates severe malicious behavior: sender_known_malicious flag in File? field (1.0) confirms threat actor; executable attachment detected with extremely high AMSI suspicion (0.457) and exfiltration score (0.550) indicates advanced malware; embedded files (4) suggest multi-stage payload delivery; winword.exe execution with failed authentication patterns; high targeted role flag indicates sophisticated spear-phishing requiring immediate blocking."
D96,Warning,0.74,"Email shows mixed indicators requiring monitoring: reply_path_diff_from_sender (1) suggests potential redirection for malicious purposes; extremely low sender domain reputation but high spam score (0.217) creates inconsistency; high targeted role flag (1.0) indicates potential targeting; passed authentication provides validation but redirection patterns warrant careful observation; insufficient evidence for immediate blocking."
D97,Malicious,0.88,"Email contains multiple malicious indicators: sender_known_malicious flag in File? field (1.0) confirms threat actor; extremely high max_metadata_suspicious_score (0.709) indicates heavily weaponized attachments; outlook.exe execution with very high exfiltration score (0.848) confirms data theft malware; legal_threat social engineering with failed DKIM authentication; QR code present (1) may be used for additional malicious redirection requiring immediate blocking."
D98,Malicious,0.92,"Email demonstrates advanced malicious behavior: sender_known_malicious flag in File? field (1.0) confirms threat actor; packer detection (1) indicates obfuscated malware; acrobat.exe execution with extremely high AMSI suspicion (0.673) and exfiltration score (0.903) confirms sophisticated PDF-based malware; link_click social engineering with high site visual similarity (0.407) indicates brand impersonation; temperror DMARC result with threat indicators requires immediate blocking."
D99,Warning,0.76,"Email requires monitoring due to concerning patterns: DMARC enforcement (1) present but failed authentication results create uncertainty; bank_detail_update request type warrants observation for potential fraud; high targeted role flag (1.0) suggests targeting; self-signed SSL certificate indicates poor security posture; no malicious attachments detected but social engineering pattern combined with authentication issues warrant monitoring."
D100,Malicious,0.95,"Email exhibits critical malicious behavior: sender_known_malicious flag in File? field (1.0) confirms threat actor; extremely high max_metadata_suspicious_score (0.881) indicates heavily weaponized attachments; winword.exe/powershell.exe execution with embedded files (4) confirms multi-stage malware; high behavioral sandbox score (0.135) and exfiltration score (0.252) indicate data theft capability; vpn_or_mfa_reset social engineering targeting authentication systems with high spam score requires immediate blocking."
D73,Warning,0.70,"Email requires monitoring due to mixed indicators: extremely low sender domain reputation (3.01e-07) excellent but urgent_callback request type indicates social engineering attempt; high targeted role flag (1.0) suggests spear-phishing; failed SPF authentication raises sender validation concerns; URL redirect detected (1) may be used for malicious redirection; no malicious attachments detected but social engineering pattern warrants careful observation."
