Data ID,Classification,Confidence Score,Detailed Justification
D301,Malicious,0.85,Email contains 3 malicious attachments with moderate sender reputation (0.74) and meeting request type. Multiple embedded files with winword.exe parent process indicate document-based malware. High exfiltration behavior score (0.405) confirms data theft attempts. Despite passing SPF the malicious attachment count is definitive.
D302,No Action,0.90,Clean email with excellent sender reputation (0.008) and no malicious indicators. All behavioral scores near zero with no executable attachments or suspicious processes. High reply path reputation (0.602) and passing SPF authentication confirm legitimacy. Safe business communication.
D303,Spam,0.75,Known malicious sender flag with poor domain reputation (0.139). No attachments but high reply path reputation concerns (0.690). While authentication passes the malicious sender designation and poor domain metrics indicate spam distribution rather than targeted attack.
D304,Malicious,0.90,High-risk email with executable attachment and legal threat request type. Poor sender reputation (0.489) combined with high exfiltration behavior (0.636) and failing SPF/DMARC authentication. Outlook.exe parent process with embedded files confirms sophisticated BEC/extortion attempt.
D305,Warning,0.70,Link click request with high temp email likelihood (0.194) raises concerns. Adobe Acrobat parent process with 4 redirect chains suggests phishing attempt. While no malicious files detected the high reply path reputation (0.629) and failing DMARC warrant caution.
D306,Warning,0.75,Bank detail update request with good sender reputation (0.764) but domain known malicious flag set. While no direct malware the sensitive financial request type combined with domain reputation issues and authentication failures (SPF softfail DMARC temperror) warrant caution.
D307,Malicious,0.95,Critical VPN/MFA reset attack with PowerShell execution behavioral sandbox score (0.217) and high exfiltration (0.406). Self-signed SSL certificate with failing DKIM/DMARC confirms credential theft attempt. Immediate blocking required for this sophisticated phishing attack.
D308,Warning,0.80,Wire transfer request with mixed signals - good sender reputation (0.635) but very high temp email likelihood (0.519). Self-signed certificate and 4 URLs detected. High SMTP geo risk (0.367) suggests compromised or suspicious infrastructure despite no malware.
D309,Malicious,0.85,Gift card request scam with PowerShell and regsvr32 execution showing advanced evasion. Extremely high exfiltration behavior (0.786) and high SMTP geo risk (0.838). Multiple process chains indicate BEC attempt despite no malicious file hashes.
D310,Malicious,0.90,Known malicious sender with 2 YARA rule matches confirming malware patterns. Excel parent process with very high metadata suspicious score (0.546) indicates macro-based attack. High SMTP geo risk (0.615) and failing DKIM/DMARC authentication support threat classification.
D311,Warning,0.75,DMARC enforced email with high temp email likelihood (0.296) and moderate metadata score (0.366). PowerShell execution detected with moderate exfiltration risk (0.547). While not definitively malicious the behavioral patterns and embedded files warrant monitoring.
