File?,Data ,sender_known_malicios,sender_domain_reputation_score(float),sender_spoof_detected(bool),sender_temp_email_likelihood(float),dmarc_enforced(bool),packer_detected(bool),any_file_hash_malicious(bool),max_metadata_suspicious_score(float),malicious_attachment_Count(int),has_executable_attachment(bool),unscannable_attachment_present(bool),Authentication & Identity Assurance,total_yara_match_count(int),total_ioc_count(int),max_behavioral_sandbox_score(float),max_amsi_suspicion_score(float),any_macro_enabled_document(bool),any_vbscript_javascript_detected(bool),any_active_x_objects_detected(bool),any_network_call_on_open(bool),max_exfiltration_behavior_score(float),any_exploit_pattern_detected(bool),total_embedded_file_count(int),max_suspicious_string_entropy_score(float),max_sandbox_execution_time(float),unique_parent_process_names(categorical),return_path_mismatch_with_from(bool),return_path_known_malicious(bool),return_path_reputation_score(float),reply_path_known_malicious(bool),reply_path_diff_from_sender(bool),reply_path_reputation_Score(float),smtp_ip_known_malicious(bool),smtp_ip_geo(Float),smtp_ip_asn(categorical),smtp_ip_reputation_score(float),domain_known_malicious(bool),url_Count(int),dna_morphing_detected(bool),domain_tech_stack_match_score(float),is_high_risk_role_targeted(bool),sender_name_similarity_to_vip(float),urgency_keywords_present(bool),request_type(categorical),content_spam_score(float),user_marked_as_spam_before(bool),bulk_message_indicator(bool),unsubscribe_link_present(bool),marketing-keywords_detected(bool),html_text_ratio(float),image_only_email(bool),spf_result(enum),dkim_result(enum),dmarc_result(enum),reverse_dns_valid(bool),tls_version(ctegorical),total_links_detected(int),url_shortener_detected(bool),url_redirect_chain_length(int),final_url_known_malicious(bool),url_decoded_spoof_detected(bool),url_reputation_score(float),ssl_validity_status(enum),site_visual_similarity_to_known_brand(float),url_rendering_behavior_score(float),link_rewritten_through_redirector(bool),token_validation_success(bool),Analysis_of_the_qrcode_if_present(verdict-malicious or non-malicious)
0.0,D901,0,4.2989154894559055e-06,0,0.0277227683949352,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0306167957464448,0,0,3.958869748697967e-21,0,9.53071542934965e-09,1.945270942379137e-06,0.3632563395753502,0,0,0,1.0,0,0.6050824184371195,0,none,1.995056832735927e-05,0,0,0,0,0.0,0,pass,policy,temperror,1,TLS 1.3,0,0,0,0,0,1.467553759196702e-05,valid,4.153115326590368e-22,0.2102769296540883,0,1,0
0.0,D902,0,0.0100360968461994,0,2.1048775042119538e-07,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,9.500719575666776e-05,0,0,0.4821690986633953,0,0.1997974677954269,0.0278869637355563,0.5939962610376338,0,0,0,0.5,0,0.1621876799658714,0,sensitive_data_request,0.0903166253799074,0,0,0,0,0.0,0,pass,neutral,fail,1,TLS 1.0,0,0,0,0,0,0.001662014709928,expired,4.410450819270459e-06,3.8187409802503935e-06,0,1,0
1.0,D903,0,1.7639539024821411e-06,0,0.0035746007224477,0,0,0,0.0140736300871793,0,0,0,0,0,0,0.2224899517653505,0.0027252074100598,0,0,0,0,0.701596430408393,0,3,4,1.3650432960268142e-71,"[""winword.exe""]",0,0,0.1931942763480048,1,0,0.1951010596792193,0,0.0410456810871656,0.0441491751121306,0.000231491105914,0,0,0,1.0,0,0.108670356515723,0,meeting_request,0.3351981341300378,0,0,0,1,0.0,0,pass,none,none,1,SSL,1,0,0,0,0,0.2932358747394484,valid,5.037714592526143e-12,0.0717586753464153,0,1,0
1.0,D904,0,2.869246739063365e-11,0,0.000168979897599,0,0,0,0.1041969867328167,0,0,0,0,0,0,4.5240998694432804e-07,9.637185178051968e-08,0,0,0,0,0.3836165880393844,0,0,4,8.844314535210412e-38,"[""winword.exe""]",0,0,0.0235239431941373,0,0,1.8819888906884355e-08,0,0.070100650346229,0.0383057736284297,0.004659501495143,0,0,0,0.5,0,6.888566584408528e-06,0,none,0.7602288778925045,0,0,0,0,0.0,0,fail,neutral,none,1,SSL,0,0,0,0,0,3.11738922154319e-10,valid,0.0621715117455764,0.017091044385716,0,1,0
0.0,D905,0,0.0004633171065525,0,7.180144629189804e-05,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,2.191192873838176e-06,0,0,3.100534801709225e-12,0,1.3538565244428031e-06,0.0653872583887846,0.042419562997513,0,0,0,1.0,0,0.0653305297199461,0,none,0.0070215393198023,0,0,0,0,0.0,0,pass,none,pass,1,TLS 1.0,0,0,0,0,0,0.63674242126787,self signed,0.0246006650695229,6.471812046163584e-06,0,1,0
1.0,D906,0,0.0402547859719447,0,1.0626152758712344e-06,0,0,0,0.0099744764607881,0,0,0,0,0,5,0.0001198503616739,0.1828472593242487,0,0,0,0,0.233440253579406,0,0,4,3.973106614440711e-91,"[""outlook.exe""]",0,0,0.0005072915047923,0,0,0.0052324475938678,0,0.0292099289450427,0.0205666644122981,0.4674395109598128,0,0,0,1.0,0,0.0002655523606764,0,legal_threat,0.8426219630088793,0,0,0,0,0.0,0,pass,policy,permerror,1,TLS 1.2,0,0,0,0,0,6.062642797432954e-11,valid,7.084495717103315e-15,0.0110779029356094,0,1,0
1.0,D907,0,0.0010230569579337,0,0.0472620661360076,0,0,0,0.0035294447419988,0,0,0,0,0,0,0.1533920111500059,0.99480299975693,0,0,0,0,0.0828762188689656,0,0,4,5.61472942679746e-15,"[""acrobat.exe""]",0,0,7.227192164874165e-10,0,0,8.342759674893715e-06,0,1.9782201629678352e-07,0.1705445245498334,2.7503457524368208e-08,0,0,0,0.0,0,0.0303266170589929,0,link_click,0.0040302905210786,0,0,0,0,0.0,0,fail,fail,fail,1,TLS 1.2,1,0,0,0,0,0.0003489202959469,valid,0.5495371308831888,0.0081160963985003,0,1,0
0.0,D908,0,0.030944297880548,0,0.0440862331320098,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.3874810445996169,0,0,4.2557694283158406e-21,0,0.5943109927361694,1.038329750226162e-13,0.0692372087182475,0,0,0,0.5,0,0.0005740051620891,0,bank_detail_update,0.079122621240063,0,0,0,0,0.0,0,pass,none,fail,1,TLS 1.0,0,0,0,0,0,1.1025276326149856e-06,valid,0.5183784466000245,0.1047884291015527,0,1,0
1.0,D909,0,0.0349643287671589,0,0.0028694471647303,0,0,0,1.6197902344885018e-05,0,0,0,0,1,0,0.2109877277778299,0.0504900124963753,0,0,0,0,0.8741719959618197,0,0,4,3.3373494222690955e-36,"[""winword.exe"", ""powershell.exe""]",0,0,0.2685431094327968,0,0,0.017444511926335,0,0.0007454809933618,7.742690027803181e-05,0.1814245470770417,0,0,0,1.0,0,0.1314315899093567,0,vpn_or_mfa_reset,0.0063325732740882,0,0,0,0,0.0,0,pass,none,pass,1,TLS 1.2,0,0,0,0,0,0.2355198601756778,self signed,0.130681178791765,0.0008937025843054,0,1,0
1.0,D910,0,6.124112544878751e-11,1,9.49957543732588e-07,0,0,0,3.501667875854068e-05,1,0,1,0,0,0,0.7611825502175706,0.0004507797478552,0,0,0,0,0.1055476331903903,0,0,4,1.6422823259690464e-33,"[""excel.exe"", ""cmd.exe"", ""powershell.exe""]",0,0,0.0019480948867538,0,0,0.0115196470350732,0,0.0009790410196325,5.694381703497361e-05,1.7501490109009834e-18,0,0,0,1.0,0,0.670258646236706,0,none,0.0012432780252199,0,0,0,0,0.0,0,pass,neutral,temperror,1,TLS 1.3,4,0,0,0,0,0.0003786144180671,valid,0.0035537332164969,0.0245029921247262,0,1,0
