Data ID,Classification,Confidence Score,Detailed Justification
D78,No Action,0.95,"Low risk indicators across all 68 signals: no sender maliciousness (0), moderate domain reputation (0.0859), no spoofing, low temp email likelihood (0.0387), clean attachments, no malicious hashes, minimal suspicious metadata (0.0), no executables, no macros/scripts, clean email headers, valid authentication (SPF pass, DKIM fail, DMARC temperror), standard TLS 1.2, minimal URL risk. Wire transfer request noted but other signals suggest legitimate business communication."
D79,Malicious,0.92,"High-risk malicious email with critical indicators: VBScript/JavaScript detected (1), significant metadata suspicious score (0.01247), high behavioral sandbox score (0.1216), AMSI suspicion (0.0738), network call on open detected, high exfiltration behavior (0.4927), multiple process execution (winword.exe, powershell.exe, regsvr32.exe), gift card request type, authentication failures (DKIM fail, DMARC temperror), high urgency indicators (1.0), suspicious URL reputation (9.09e-07). Multiple exploit vectors indicate advanced malware delivery."
D80,Malicious,0.89,"Confirmed malicious email with executable attachment (1), extremely high metadata suspicious score (0.8138), concerning behavioral sandbox results (0.1186), AMSI detection (0.1298), high exfiltration score (0.9955), process execution via excel.exe, authentication failures across SPF/DKIM/DMARC, high urgency targeting (1.0), sender domain reputation concerns (0.2906), and reply path reputation issues (0.4710). Multiple malware indicators confirm threat."
D81,Malicious,0.87,"Malicious classification due to high behavioral sandbox score (0.5858), significant AMSI suspicion (0.5248), executable processes triggered (winword.exe, powershell.exe), moderate metadata suspicious score (0.0948), sender domain reputation issues (0.1730), high URL reputation risk (0.4857), authentication failures (DKIM temperror), and targeting of high-risk roles (0.5). Pattern consistent with document-based malware delivery."
D82,No Action,0.93,"Legitimate email with minimal risk factors: no sender maliciousness, very low domain reputation issues (1.41e-07), low temp email likelihood (0.0487), clean attachments and metadata, no executables or scripts, invoice verification request type (business-legitimate), good authentication results (SPF pass), standard encryption (TLS 1.2), multiple clean URLs (2), reasonable URL reputation (0.6825), minimal content spam score (0.0167). Business communication appears authentic."
D83,Malicious,0.88,"High-risk malicious email: significant YARA rule matches (5), extensive sandbox execution time (220.43s), multiple processes spawned (winword.exe, powershell.exe), moderate behavioral sandbox score (0.1226), AMSI suspicion (0.2152), network call on open (1), high exfiltration behavior (0.3201), authentication issues (SPF softfail, DKIM policy, DMARC none), urgency targeting (1.0), extremely low URL reputation (1.34e-12). Advanced persistent threat characteristics."
D84,Malicious,0.91,"Confirmed malicious threat: high behavioral sandbox score (7.51e-13 indicates evasion), significant AMSI suspicion (0.4538), high exfiltration behavior (0.5416), multiple process execution (winword.exe, powershell.exe, regsvr32.exe), reply path maliciousness (1), authentication failures (SPF pass but DKIM/DMARC fail), moderate URL reputation concerns (0.4992), high site visual similarity to brands (0.9519). Sophisticated attack vector detected."
D85,Warning,0.79,"Moderate risk indicators warrant warning classification: DMARC enforced (1) provides some protection, but concerns include wire transfer request, authentication failures (SPF neutral, DKIM policy, DMARC fail), moderate sender temp email likelihood (2.59e-08), some URL reputation issues (0.0580), QR code analysis shows malicious verdict (1), moderate urgency targeting (0.5). Mixed signals suggest caution needed."
D86,Warning,0.82,"Warning classification due to mixed risk signals: high sender domain reputation concerns (0.5340), return path maliciousness (1), significant reply path reputation issues (0.0002), SMTP IP reputation problems (0.1230), authentication failures across SPF/DKIM/DMARC, urgency targeting (1.0), but no attachment threats or active exploits. Sender-focused threat requiring caution."
D87,Warning,0.77,"Warning level risk: URL shortener detected (1) raising obfuscation concerns, authentication failures (SPF pass but DKIM/DKIM fail), self-signed SSL certificate indicating poor security posture, moderate urgency targeting (0.5), QR code analysis shows malicious verdict (1), but minimal attachment risks and low content spam score. Moderate threat level requiring user awareness."
