Data ID,Classification,Confidence Score,Detailed Justification
D351,Malicious,0.90,VPN/MFA reset attack with executable attachment and network call behavior detected. High metadata suspicious score (0.625) combined with PowerShell execution and extreme exfiltration behavior (0.728). High SMTP reputation risk (0.684) confirms credential theft attempt requiring immediate blocking.
D352,Spam,0.75,Urgent callback request with extremely high temp email likelihood (0.654) and very high return path reputation risk (0.822). While no malware detected the combination of urgency social engineering and temporary email patterns indicates spam/scam attempt rather than legitimate communication.
D353,Warning,0.70,VBScript/JavaScript detected with low behavioral scores but concerning patterns. Failed all authentication checks (SPF/DKIM/DMARC) with URL reputation concerns (0.229). While not definitively malicious the script presence and authentication failures warrant monitoring.
D354,Spam,0.80,Link click request with very high content spam score (0.875) and SSL protocol usage. While authentication passes the spam content combined with low technical risks suggests unsolicited commercial email requiring spam classification.
D355,Malicious,0.92,DMARC enforced with extreme exfiltration behavior (0.952) and high behavioral sandbox score (0.178). Multiple process execution including cmd.exe and PowerShell with expired certificate. High SMTP ASN reputation risk (0.926) confirms sophisticated attack.
D356,Warning,0.75,Wire transfer request with high AMSI score (0.371) and moderate risks. Failed SPF with high SMTP reputation concerns (0.523). While no direct malware the financial request type with authentication failures requires verification.
D357,No Action,0.85,Wire transfer request with good overall profile. Clean behavioral scores and passing authentication. While sensitive request type the technical indicators show legitimate business communication pattern.
D358,Malicious,0.88,Gift card request scam with network call on open detected and extreme exfiltration behavior (0.803). PowerShell and regsvr32 execution with high SMTP geo risk (0.310). Classic BEC attack pattern confirmed.
D359,Malicious,0.95,Executable attachment with extreme behavioral sandbox score (0.636) and high AMSI score (0.572). Failed all authentication with high SMTP reputation risk (0.353). Excel parent process indicates macro-based attack requiring blocking.
D360,Warning,0.80,High temp email likelihood (0.238) with moderate metadata score (0.384). PowerShell execution detected but low overall risk scores. High SMTP geo risk (0.899) suggests compromised infrastructure requiring monitoring.
D361,No Action,0.85,Invoice verification with minimal risk indicators. High return path reputation concern (0.757) but clean behavioral profile. Failed SPF but no malicious content suggests legitimate invoice with poor email configuration.
D362,Malicious,0.90,High temp email likelihood (0.336) with macro enabled document and behavioral sandbox score (0.323). PowerShell execution with high exfiltration behavior (0.625). Image only email pattern confirms phishing attempt.
D363,Malicious,0.95,Macro enabled document with extreme behavioral sandbox score (0.737) and exfiltration behavior (0.710). PowerShell and regsvr32 execution with expired certificate. High temp email likelihood confirms advanced malware delivery.
D364,Warning,0.70,Wire transfer request with moderate risks. DNS morphing detected but low behavioral scores. High content spam score (0.106) with passing authentication suggests potential fraud requiring verification.
D365,Warning,0.70,Reply path reputation concerns (0.403) with token validation success but image only email flag. While passing SPF the combination of image-only pattern and reputation issues warrants monitoring.
D366,Warning,0.75,High URL reputation risk (0.597) with token validation success. While authentication passes completely the URL reputation concern combined with moderate SMTP reputation issues requires caution.
D367,Spam,0.75,Failed SPF and DMARC with image only email flag. While no malware detected the authentication failures combined with email structure typical of spam campaigns warrants spam classification.
D368,Warning,0.70,Gift card request with final URL known malicious flag. While other indicators are low the malicious URL destination combined with social engineering request type requires user awareness.
D369,Malicious,0.92,Wire transfer fraud with extreme exfiltration behavior (0.855) and high SMTP ASN risk (0.714). Failed SPF with SSL protocol and high content spam score (0.593). Confirmed BEC attack.
D370,Malicious,0.95,Document download request with high AMSI score (0.749) and failed authentication. High SMTP ASN reputation risk (0.835) with moderate exfiltration behavior. Malware delivery attempt confirmed.
D371,Spam,0.80,Extremely high temp email likelihood (0.825) with high URL rendering behavior score (0.874). While no malware detected the temporary email pattern indicates spam distribution rather than targeted attack.
D372,Warning,0.75,Sensitive data request with failed all authentication checks. While behavioral scores are minimal the complete authentication failure with sensitive request type warrants careful monitoring.
D373,Warning,0.80,Meeting request with high temp email likelihood (0.280) and AMSI score (0.340). While not definitively malicious the URL rendering behavior score (0.907) suggests suspicious dynamic content.
D374,Malicious,0.98,Known malicious sender with 5 YARA rule matches and 4 total components detected malicious. High metadata score (0.396) with extreme exfiltration behavior (0.946). Self-signed certificate confirms active malware.
D375,Warning,0.70,High temp email likelihood (0.228) with expired certificate and domain known malicious flag. While no direct malware the infrastructure concerns with content spam score (0.377) warrant monitoring.
D376,Malicious,0.96,Legal threat with 1 malicious attachment and extreme metadata suspicious score (0.909). High behavioral sandbox score (0.398) and AMSI score (0.713). Reply path difference confirms sophisticated spoofing attack.
D377,Warning,0.85,Link click request with high metadata suspicious score (0.611) and return path reputation risk (0.613). Self-signed certificate but passing authentication. Behavioral patterns warrant enhanced scrutiny.
D378,Warning,0.75,Bank detail update with reply path known malicious and return path reputation concerns (0.369). Self-signed certificate with domain known malicious flag requires verification despite no direct malware.
D379,Malicious,0.92,VPN/MFA reset with 6 YARA rule matches and extreme exfiltration behavior (0.845). PowerShell execution with expired certificate and high SMTP ASN risk (0.601). Critical credential theft attempt.
D380,Malicious,0.98,VPN/MFA reset with extreme behavioral sandbox score (0.517) and high metadata score (0.517). PowerShell execution with maximum content spam score (0.957). Advanced persistent threat confirmed.
D381,Malicious,0.95,DMARC enforced with executable attachment and extreme behavioral sandbox score (0.731). PowerShell execution with high return path reputation risk (0.889). HTML text ratio anomaly confirms phishing.
D382,No Action,0.85,Invoice verification with clean behavioral profile. High SMTP geo risk (0.623) but minimal other concerns. Passing authentication suggests legitimate invoice communication.
D383,Warning,0.80,High temp email likelihood (0.300) with metadata suspicious score (0.645). PowerShell execution with high return path reputation risk (0.498). Failed authentication warrants monitoring.
D384,Malicious,0.96,Executable attachment with extreme metadata suspicious score (0.936) and AMSI score (0.797). PowerShell and regsvr32 execution with 2 YARA matches. High temp email likelihood confirms malware delivery.
D385,Warning,0.70,Wire transfer request with failed authentication across all checks. While behavioral scores are low the sensitive request type with complete authentication failure requires verification.
D386,Spam,0.80,Domain known malicious with extremely high return path reputation risk (0.984). High SMTP geo risk (0.499) with URL rendering behavior score (0.579). Spam campaign indicators present.
D387,Spam,0.75,High return path reputation risk (0.384) with failed DMARC. Content indicators suggest spam despite low behavioral scores. 4 URLs detected with minimal malicious indicators.
D388,Malicious,0.85,Sender spoof detected with high URL reputation risk (0.723) and reply path reputation concerns (0.359). Failed authentication (SPF pass but DKIM/DMARC fail) with 3 URLs confirms spoofing attack attempt.
D389,No Action,0.80,Gift card request but with good overall security profile. While social engineering present the clean behavioral scores and passing authentication suggest legitimate but unusual request.
D390,Malicious,0.98,DMARC enforced with extreme metadata suspicious score (0.891) and exfiltration behavior (0.952). Network call behavior detected with high temp email likelihood (0.599). Advanced malware confirmed.
D391,Malicious,0.95,Document download with unscannable attachment and behavioral sandbox score (0.470). High temp email likelihood (0.931) with failing authentication. Evasive malware delivery attempt.
D392,Spam,0.75,High temp email likelihood (0.668) with self-signed certificate. While no malware detected the temporary email pattern with poor authentication suggests spam distribution.
D393,Spam,0.70,Sensitive data request with expired certificate and moderate content spam score (0.231). While not malicious the request pattern with authentication issues indicates spam/phishing attempt.
D394,Malicious,0.94,DMARC enforced with VBScript/JavaScript detected and extreme exfiltration behavior (0.909). High AMSI score (0.653) with embedded file. SSL protocol confirms outdated infrastructure in attack.
D395,Malicious,0.92,Extreme metadata suspicious score (0.891) with high AMSI score (0.628). High SMTP geo risk (0.597) with failing authentication. PowerShell execution confirms sophisticated attack.
D396,Warning,0.75,Reply path known malicious with moderate return path reputation concerns. Failed SPF but low behavioral scores. The malicious reply path warrants monitoring despite minimal other risks.
D397,Malicious,0.98,Known malicious sender with network call behavior and 5 YARA rule matches. Legal threat with extreme behavioral sandbox score (0.496). High exfiltration behavior confirms active attack.
D398,Malicious,0.88,Link click request with YARA rule match and high exfiltration behavior (0.687). Adobe process execution with domain known malicious. SSL protocol indicates outdated attack infrastructure.
D399,No Action,0.80,Bank detail update with minimal risk indicators. While sensitive request type the clean behavioral profile and passing SPF suggest legitimate request requiring standard verification.
