Data ID,Classification,Confidence Score,Detailed Justification
D85,Spam,0.85,"Email exhibits multiple spam indicators: moderate sender domain reputation (0.061) raises concerns; high spam score (0.49) indicates unsolicited content; failed SPF and DKIM authentication suggests sender validation issues; wire_transfer request type commonly used in fraud campaigns; high URL reputation score (0.62) indicates suspicious links; combined authentication failures and spam characteristics support spam classification requiring filtering."
D86,Warning,0.78,"Email shows concerning authentication patterns requiring monitoring: reply_path_known_malicious (1) flag indicates redirected replies to malicious actors; failed SPF authentication with failed DMARC result suggests potential spoofing attempts; high URL reputation score (0.87) indicates suspicious links; high targeted role flag (1.0) suggests spear-phishing attempt; insufficient definitive malicious indicators for blocking but warrants careful scrutiny."
D87,No Action,0.75,"Email presents acceptable risk profile: very low sender domain reputation (5.26e-06) excellent; no malicious attachments or behavioral indicators; no suspicious processes detected; softfail SPF authentication acceptable for business communication; moderate site visual similarity may indicate legitimate brand content; high HTML text ratio (1.1) suggests proper email formatting; suitable for delivery with standard monitoring."
D88,No Action,0.80,"Email shows minimal security concerns: extremely low sender domain reputation (1.00e-11) excellent; high temporary email likelihood (0.39) noted but other indicators don't support malicious intent; passed SPF authentication validates sender; no malicious attachments or behavioral threats; self-signed SSL certificate noted but within acceptable risk parameters; suitable for delivery with routine monitoring."
D89,Warning,0.72,"Email requires monitoring due to mixed indicators: extremely low sender domain reputation but high targeted role flag (1.0) suggests potential targeting; gift_card_request type indicates social engineering attempt commonly used in fraud; failed SPF authentication raises sender validation concerns; no malicious attachments detected but social engineering pattern warrants careful observation and user education."
D90,Malicious,0.95,"Email demonstrates clear malicious intent: sender_known_malicious flag (1.0) confirms threat actor; significant max_metadata_suspicious_score (0.003) with winword.exe execution indicates document-based malware; high behavioral sandbox score (0.22) and exfiltration score (0.75) confirm active data theft malware; wire_transfer social engineering with failed authentication; high site visual similarity (0.36) indicates brand impersonation requiring immediate blocking."
D91,Malicious,0.93,"Email exhibits multiple high-risk indicators: sender_known_malicious flag (1.0) confirms threat actor; significant max_metadata_suspicious_score (0.186) with winword.exe execution indicates weaponized attachments; YARA rule match (1) suggests malware signatures detected; high exfiltration score (0.31) indicates data theft capability; document_download social engineering with failed authentication requires immediate blocking."
D92,Warning,0.70,"Email shows concerning patterns requiring monitoring: high temporary email likelihood (0.51) with is_high_risk_role_targeted (1) flag suggests potential spear-phishing; no malicious attachments detected but image_only_email (1) may be used to evade text-based detection; passed SPF authentication provides some validation; moderate spam score (0.12) warrants observation but insufficient evidence for blocking."
D93,No Action,0.78,"Email presents low risk profile: extremely low sender domain reputation (3.67e-14) excellent; no malicious attachments or behavioral indicators; no suspicious processes detected; failed SPF but passed DKIM authentication provides mixed validation; sensitive_data_request type noted but other indicators don't support malicious intent; suitable for delivery with monitoring."
D94,Malicious,0.88,"Email contains multiple malicious indicators: sender_known_malicious flag (1.0) confirms threat actor; max_metadata_suspicious_score (0.006) with winword.exe execution indicates document-based malware; high exfiltration score (0.032) suggests data theft capability; meeting_request social engineering commonly used in targeted attacks; failed DMARC authentication with high site visual similarity (0.73) requires immediate blocking."
D95,Malicious,0.92,"Email demonstrates advanced malicious behavior: sender_known_malicious flag (1.0) confirms threat actor; significant max_metadata_suspicious_score (0.044) with winword.exe execution indicates weaponized attachments; IOC count (2) suggests correlation with known threat campaigns; very high behavioral sandbox score (0.062) and AMSI suspicion (0.826) confirm active malware; extremely high exfiltration score (0.902) indicates sophisticated data theft capability requiring immediate blocking."
D96,Warning,0.76,"Email shows mixed indicators requiring monitoring: sender_known_malicious flag in File? field (1) suggests potential detection but other sender indicators don't strongly support malicious intent; extremely low sender domain reputation (4.00e-09) excellent; no malicious attachments or behavioral threats; failed DKIM authentication raises minor concerns; high targeted role flag (1.0) warrants observation but insufficient evidence for blocking."
D97,Malicious,0.90,"Email exhibits multiple critical indicators: sender_known_malicious flag (1.0) confirms threat actor; high sender domain reputation (0.303) with significant max_metadata_suspicious_score (0.026) indicates weaponized attachments; outlook.exe execution with very high sandbox execution time (8.93) suggests evasive malware; extremely high exfiltration score (0.798) indicates advanced data theft; legal_threat social engineering requires immediate blocking."
D98,Malicious,0.91,"Email contains severe malicious indicators: sender_known_malicious flag (1.0) confirms threat actor; extremely high max_metadata_suspicious_score (0.533) indicates heavily weaponized attachments; YARA rule match (1) suggests malware signatures; acrobat.exe execution with very high AMSI suspicion (0.869) and exfiltration score (0.608) confirms advanced malware; link_click social engineering with high targeted role requires immediate blocking."
D99,No Action,0.75,"Email presents acceptable risk profile: extremely low sender domain reputation (8.38e-13) excellent; no malicious attachments or behavioral indicators; no suspicious processes detected; passed SPF authentication validates sender; bank_detail_update request type noted but marketing keywords detected (1) suggest legitimate business communication; high spam score (0.36) noted but other indicators support delivery."
D100,Malicious,0.94,"Email demonstrates critical malicious behavior: sender_known_malicious flag (1.0) confirms threat actor; extremely high max_metadata_suspicious_score (0.355) indicates heavily weaponized attachments; winword.exe/powershell.exe execution confirms multi-stage malware; very high spam score (0.446) with vpn_or_mfa_reset social engineering targeting authentication systems; self-signed SSL certificate and high site visual similarity requires immediate blocking."
D78,Warning,0.82,"Email requires monitoring due to concerning patterns: return_path_mismatch_with_from (1) and return_path_known_malicious (1) indicate spoofing with malicious redirection; high sender domain reputation (0.219) raises concerns; wire_transfer request type commonly used in fraud; expired SSL certificate indicates poor security posture; softfail SPF authentication warrants careful observation but insufficient evidence for immediate blocking."
D79,Malicious,0.89,"Email exhibits malicious characteristics: sender_known_malicious flag (1.0) confirms threat actor; max_metadata_suspicious_score (0.00003) with multiple process executions (winword.exe/powershell.exe/regsvr32.exe) indicates multi-stage malware; high behavioral sandbox score (0.118) and very high exfiltration score (0.699) confirm data theft malware; gift_card_request social engineering with failed DMARC authentication requires immediate blocking."
D80,Malicious,0.93,"Email demonstrates advanced malicious intent: sender_known_malicious flag (1.0) confirms threat actor; extremely high max_metadata_suspicious_score (0.537) indicates heavily weaponized attachments; excel.exe execution with high behavioral sandbox score (0.263) and exfiltration score (0.765) confirms active malware; failed authentication with high targeted role flag indicates sophisticated attack requiring immediate blocking."
D81,Malicious,0.90,"Email exhibits multiple malicious indicators: sender_known_malicious flag (1.0) confirms threat actor; high max_metadata_suspicious_score (0.113) with executable attachment and winword.exe/powershell.exe execution indicates multi-stage malware; extremely high behavioral sandbox score (0.565) and exfiltration score (0.762) confirm advanced data theft capability; domain_known_malicious (1) and URL count (2) suggest malicious infrastructure requiring immediate blocking."
D82,Spam,0.83,"Email demonstrates spam characteristics: very low sender domain reputation but extremely high spam score (0.903) indicates unsolicited bulk content; passed SPF authentication provides some validation but invoice_verification request type may be deceptive; high site visual similarity (0.011) suggests potential brand impersonation; failed authentication results combined with high spam indicators support spam classification requiring filtering."
D83,Malicious,0.87,"Email contains malicious indicators: sender_known_malicious flag (1.0) confirms threat actor; max_metadata_suspicious_score (0.010) with winword.exe/powershell.exe execution indicates document-based malware; high AMSI suspicion (0.348) and exfiltration score (0.103) suggest active threat; domain count (1) with failed authentication patterns requires immediate blocking for threat mitigation."
