Data ID,Classification,Confidence Score,Detailed Justification
D92,No Action,0.85,"Low-risk business communication: moderate sender domain reputation (0.2965), no attachment threats, clean behavioral analysis, urgency targeting (0.5), good authentication (SPF pass, DMARC temperror), expired certificate minor concern, minimal URL reputation (0.0098), moderate content spam score (0.0429). Standard business communication with expired certificate issue."
D93,Warning,0.81,"Warning classification: sensitive data request requires verification, smtp_ip_known_malicious (1) primary concern, high SMTP IP reputation issues (0.8960, 0.6814), urgency targeting (1.0), authentication failures (SPF fail, DKIM policy, DMARC pass), self-signed certificate, good URL reputation (0.1148), high URL rendering behavior (0.5485). Sensitive data request from compromised infrastructure requires caution."
D94,Malicious,0.93,"High-risk malicious email: extremely high metadata suspicious score (0.6472), very high AMSI suspicion (0.6789), very high exfiltration behavior (0.9225), extensive sandbox execution time (110.56s), process execution via winword.exe, meeting request (social engineering), urgency targeting (1.0), url_decoded_spoof_detected (1), certificate mismatch, minimal URL reputation (0.0013). Advanced social engineering attack with very high behavioral threat scores."
D95,Malicious,0.95,"Confirmed high-risk malicious threat: executable attachment (1), any network call on open (1), extremely high behavioral sandbox score (0.3891), very high AMSI suspicion (0.5820), high exfiltration behavior (0.6915), process execution via winword.exe, urgency targeting (1.0), good URL reputation (0.6618) but executable and network callbacks confirm threat. Executable-based malware with network communication."
D96,No Action,0.87,"Low-risk business communication: minimal sender reputation concerns (0.0099), no attachment threats, clean behavioral analysis, urgency targeting (1.0), good authentication (SPF pass, DKIM policy, DMARC temperror), single URL with minimal reputation concerns (0.0050), minimal content spam score (7.29e-06). Standard business communication with minor authentication issues."
D97,Malicious,0.88,"High-risk malicious email: minimal metadata suspicious score (0.0002) but behavioral sandbox activity (0.0012), AMSI suspicion (0.1184), legal threat request (social engineering), urgency targeting (1.0), high SMTP IP reputation concerns (0.6692), expired certificate, good URL reputation (0.4238) but social engineering pattern with infrastructure compromise. Legal threat social engineering attack."
D98,Malicious,0.94,"Confirmed high-risk malicious threat: sender known malicious (1), return path known malicious (1), significant metadata suspicious score (0.1648), behavioral sandbox activity (0.2605), AMSI suspicion (0.0563), very high exfiltration behavior (0.9833), any exploit pattern detected (1), process execution via acrobat.exe, link click request, high content spam score (0.5146), high SMTP IP reputation concerns (0.8708). Known malicious sender with PDF-based attack and very high exfiltration behavior."
D99,Spam,0.83,"Spam classification: bank detail update request, high temp email likelihood (0.5429), high SMTP IP reputation concerns (0.6047, 0.9824), urgency targeting (0.5), authentication failures (SPF fail), high content spam score (0.6556), extremely low URL reputation (8.37e-12). Financial spam campaign with infrastructure issues."
D100,Malicious,0.91,"High-risk malicious email: extremely high metadata suspicious score (0.5526), high exfiltration behavior (0.3557), any exploit pattern detected (1), process execution (winword.exe, powershell.exe), VPN/MFA reset request (credential harvesting), urgency targeting (0.5), url_decoded_spoof_detected (1), expired certificate, high content spam score (0.1625). Credential harvesting attack with URL spoofing."
D100,Malicious,0.92,"Confirmed high-risk malicious threat: domain known malicious (1), extremely high metadata suspicious score (0.4737), behavioral sandbox activity (0.0614), high exfiltration behavior (0.1360), process execution (winword.exe, powershell.exe), VPN/MFA reset request, urgency targeting (0.5), high content spam score (0.1814), expired certificate, extremely low URL reputation (3.58e-07). Credential harvesting from known malicious domain."
D81,Malicious,0.94,"High-risk malicious email: high sender domain reputation (0.6783) indicates compromised legitimate sender, extremely high behavioral sandbox score (0.4943), high exfiltration behavior (0.5923), process execution (winword.exe, powershell.exe), urgency targeting (1.0), multiple URLs (2) with minimal reputation (0.0012), extremely low content spam score (1.74e-10) but behavioral indicators confirm threat. Compromised high-reputation sender with advanced malware."
D82,Warning,0.79,"Warning classification: sender spoof detected (1) primary concern, invoice verification request, high return path reputation concerns (0.3798), reply path known malicious (1), urgency targeting (1.0), authentication mixed (SPF neutral, DMARC pass), multiple URLs (4) with minimal reputation concerns (4.31e-05). Spoofed invoice request requires verification despite some authentication protections."
D83,Malicious,0.90,"High-risk malicious email: executable attachment (1), unscannable attachment present (1) preventing full analysis, significant metadata suspicious score (0.1233), behavioral sandbox activity (0.0129), high exfiltration behavior (0.3020), process execution (winword.exe, powershell.exe), urgency targeting (1.0), high SMTP IP reputation concerns (0.6689), high content spam score (0.1695). Executable-based malware with unscannable attachments."
D84,Malicious,0.93,"Confirmed high-risk malicious threat: extremely high metadata suspicious score (0.6615), very high exfiltration behavior (0.6683), process execution (winword.exe, powershell.exe, regsvr32.exe), urgency targeting (0.5), high return path reputation concerns (0.4137), high SMTP IP reputation issues (0.4236), high URL reputation (0.7895) but behavioral indicators confirm advanced threat. Multi-process malware execution chain."
D85,Warning,0.78,"Warning classification: dns morphing detected (1) indicating domain spoofing, wire transfer request (BEC risk), high SMTP IP reputation concerns (0.7820, 0.3364), urgency targeting (1.0), high content spam score (0.2983), authentication failures (SPF pass), minimal URL reputation (0.0004). DNS morphing attack with financial request requires verification."
D86,No Action,0.84,"Low-risk business communication: moderate sender domain reputation (0.3429), high return path reputation (0.6234), high SMTP IP reputation concerns (0.8200) but no attachment threats, clean behavioral analysis, urgency targeting (1.0), multiple URLs (3) with minimal reputation concerns (8.51e-08), high content spam score (0.5969) likely marketing content. Business communication with infrastructure concerns."
D87,No Action,0.86,"Low-risk business communication: minimal sender reputation concerns (0.0053), no attachment threats, clean behavioral analysis, urgency targeting (1.0), good authentication (SPF/DKIM pass, DMARC pass), multiple URLs (2) with minimal reputation concerns (0.0001), expired certificate minor issue. Standard business communication with expired certificate."
D88,Warning,0.82,"Warning classification: moderate sender domain reputation (0.2420), reply path known malicious (1) primary concern, user marked as spam (1), high content spam score (0.2373), authentication failures (SPF fail, DKIM policy, DMARC fail), self-signed certificate, single URL with minimal reputation (0.0006). Infrastructure compromise with user feedback concerns."
D89,Spam,0.81,"Spam classification: very high sender domain reputation (0.9289) but return path known malicious (1), gift card request type (common spam theme), urgency targeting (1.0), good authentication (SPF pass, DMARC fail), extremely low URL reputation (5.20e-11), moderate content spam score (0.0113). Gift card spam from compromised high-reputation domain."
D90,Malicious,0.91,"High-risk malicious email: high temp email likelihood (0.7626), domain known malicious (1), return path known malicious (1), significant metadata suspicious score (0.1407), behavioral sandbox activity (0.0906), very high exfiltration behavior (0.8305), any exploit pattern detected (1), process execution via winword.exe, wire transfer request (BEC), multiple URLs (4), self-signed certificate. BEC attack from known malicious infrastructure."
D91,Malicious,0.89,"High-risk malicious email: significant metadata suspicious score (0.1315), AMSI suspicion (0.2892), high exfiltration behavior (0.3796), process execution via winword.exe, document download request, multiple URLs (4) with moderate reputation (0.1254), certificate mismatch, high site visual similarity (0.3360), high URL rendering behavior (0.4373). Document-based attack with certificate spoofing."
D92,No Action,0.88,"Low-risk business communication: moderate sender domain reputation (0.0545), urgency targeting (1.0), good authentication (SPF pass, DKIM fail, DMARC pass), high URL reputation (0.8878), very high site visual similarity (0.9634) suggests legitimate branded content, extremely low content spam score (3.41e-09). Branded business communication with minor authentication issues."
