Data ID,Classification,Confidence Score,Detailed Justification
D98,Malicious,0.92,"High-risk malicious email: significant metadata suspicious score (0.1761), behavioral sandbox activity (0.0037), high exfiltration behavior (0.3229), process execution via acrobat.exe, link click request, high SMTP IP reputation concerns (0.8097), urgency targeting (1.0), high content spam score (0.4479), extremely low URL reputation (2.39e-11). PDF-based attack with high exfiltration behavior and infrastructure compromise."
D99,Spam,0.81,"Spam classification: bank detail update request, moderate sender domain reputation (0.1659), high return path reputation concerns (0.8014), high SMTP IP reputation issues (0.8728), urgency targeting (1.0), authentication failures (SPF fail, DKIM policy, DMARC fail), high content spam score (0.1733), extremely low URL reputation (5.36e-07). Financial spam campaign with infrastructure issues."
D100,Malicious,0.94,"High-risk malicious email: extremely high metadata suspicious score (0.6892), behavioral sandbox activity (0.0183), very high exfiltration behavior (0.9488), process execution (winword.exe, powershell.exe), VPN/MFA reset request (credential harvesting), urgency targeting (1.0), high content spam score (0.6046), expired certificate, extremely low URL reputation (1.42e-06). Credential harvesting attack with very high exfiltration behavior."
D100,Malicious,0.95,"Confirmed high-risk malicious threat: extremely high behavioral sandbox score (0.8069), very high exfiltration behavior (0.9816), process execution (winword.exe, powershell.exe), VPN/MFA reset request, urgency targeting (1.0), high return path reputation concerns (0.9104), high SMTP IP reputation issues (0.8543), extremely low URL reputation (8.17e-08). Advanced credential harvesting with extremely high behavioral scores."
D81,Malicious,0.90,"High-risk malicious email: significant metadata suspicious score (0.4060), AMSI suspicion (0.0996), high exfiltration behavior (0.5748), process execution (winword.exe, powershell.exe), urgency targeting (1.0), high SMTP IP reputation concerns (0.7364), multiple URLs (4) with minimal reputation (0.0017), high content spam score (0.2146). Multi-URL document-based malware with high exfiltration behavior."
D82,Warning,0.82,"Warning classification: return path known malicious (1) primary concern, invoice verification request, high return path reputation concerns (0.3877), good authentication (SPF/DKIM pass, DMARC pass), urgency targeting (1.0), multiple URLs (2) with minimal reputation (0.0046), self-signed certificate. Infrastructure compromise despite authentication protections requires verification."
D83,Malicious,0.91,"High-risk malicious email: extremely high metadata suspicious score (0.6314), behavioral sandbox activity (0.0242), AMSI suspicion (0.0502), high exfiltration behavior (0.0881), process execution (winword.exe, powershell.exe), urgency targeting (1.0), high content spam score (0.1949), authentication failures (SPF fail, DKIM policy), extremely low URL reputation (3.83e-05). Document-based malware with extremely high metadata threat scores."
D84,Malicious,0.93,"Confirmed high-risk malicious threat: extremely high metadata suspicious score (0.5743), behavioral sandbox activity (0.0069), AMSI suspicion (0.1684), very high exfiltration behavior (0.8449), process execution (winword.exe, powershell.exe, regsvr32.exe), urgency targeting (1.0), authentication failures (SPF/DKIM fail, DMARC pass), extremely low URL reputation (7.34e-05). Multi-process malware with very high exfiltration behavior."
D85,Warning,0.80,"Warning classification: wire transfer request (BEC risk), high return path reputation concerns (0.6434), high SMTP IP reputation issues (0.9309), urgency targeting (1.0), authentication failures (SPF fail, DKIM neutral, DMARC fail), minimal URL reputation (0.0001), high content spam score (0.2183). Financial request with infrastructure concerns requires verification."
D86,No Action,0.87,"Low-risk business communication: moderate sender domain reputation (0.1178), no attachment threats, clean behavioral analysis, urgency targeting (1.0), good authentication (SPF/DKIM pass, DMARC pass), self-signed certificate, multiple URLs (3) with minimal reputation (0.0001), extremely low content spam score (6.36e-07). Standard business communication with certificate concern."
D87,No Action,0.86,"Low-risk business communication: minimal sender reputation concerns (0.0001), no attachment threats, clean behavioral analysis, urgency targeting (1.0), good authentication (SPF pass, DMARC temperror), expired certificate, multiple URLs (4) with extremely low reputation (4.11e-06). Standard business communication with expired certificate."
D88,Warning,0.79,"Warning classification: reply path known malicious (1) primary concern, high temp email likelihood (0.3859), urgency targeting (1.0), authentication failures (SPF fail, DKIM policy, DMARC fail), multiple URLs (2) with extremely low reputation (1.29e-06), high URL rendering behavior (0.9831). Compromised reply infrastructure with temporary email characteristics requires caution."
D89,Spam,0.80,"Spam classification: gift card request type (common spam theme), high SMTP IP reputation concerns (0.7823), urgency targeting (1.0), authentication failures (SPF fail, DKIM neutral), extremely low URL reputation (1.69e-05), moderate content spam score (0.0216). Gift card spam campaign with infrastructure issues."
D90,Malicious,0.92,"High-risk malicious email: extremely high metadata suspicious score (0.5524), behavioral sandbox activity (0.0074), AMSI suspicion (0.1094), very high exfiltration behavior (0.8872), process execution via winword.exe, wire transfer request (BEC attack), urgency targeting (1.0), high SMTP IP reputation concerns (0.9018), extremely low URL reputation (2.72e-06). BEC attack with very high exfiltration behavior."
D91,Malicious,0.89,"High-risk malicious email: significant metadata suspicious score (0.3652), behavioral sandbox activity (0.0026), AMSI suspicion (0.1073), high exfiltration behavior (0.3068), process execution via winword.exe, document download request, urgency targeting (1.0), high SMTP IP reputation concerns (0.7994), extremely low URL reputation (1.86e-05). Document-based attack with behavioral analysis."
D92,No Action,0.85,"Low-risk business communication: minimal sender reputation concerns (0.0057), no attachment threats, clean behavioral analysis, urgency targeting (1.0), good authentication (SPF/DKIM pass, DMARC pass), self-signed certificate, multiple URLs (2) with minimal reputation (0.0001), extremely low content spam score (1.96e-06). Standard business communication with certificate concern."
D93,Warning,0.81,"Warning classification: sensitive data request requires verification, high return path reputation concerns (0.4096), urgency targeting (1.0), authentication failures (SPF fail, DMARC pass), multiple URLs (3) with extremely low reputation (8.74e-06), high content spam score (0.4966). Sensitive data request with infrastructure concerns requires caution."
D94,Malicious,0.93,"High-risk malicious email: VBScript/JavaScript detected (1), extremely high metadata suspicious score (0.6487), behavioral sandbox activity (0.0011), high exfiltration behavior (0.2174), process execution via winword.exe, meeting request (social engineering), urgency targeting (1.0), expired certificate, extremely low URL reputation (9.33e-05). Script-based social engineering attack."
D95,Malicious,0.91,"High-risk malicious email: significant metadata suspicious score (0.4323), behavioral sandbox activity (0.0063), AMSI suspicion (0.0713), high exfiltration behavior (0.6101), process execution via winword.exe, urgency targeting (1.0), high SMTP IP reputation concerns (0.8964), extremely low URL reputation (3.27e-06). Document-based malware with high exfiltration behavior."
D96,Warning,0.78,"Warning classification: return path known malicious (1) primary concern, high return path reputation concerns (0.8335), urgency targeting (1.0), good authentication (SPF pass, DMARC temperror), multiple URLs (2) with minimal reputation (0.0007), self-signed certificate. Compromised return path infrastructure requires caution."
D97,Malicious,0.94,"High-risk malicious email: extremely high metadata suspicious score (0.7401), behavioral sandbox activity (0.0152), AMSI suspicion (0.0408), very high exfiltration behavior (0.8564), process execution via outlook.exe, legal threat request (social engineering), urgency targeting (1.0), high content spam score (0.1804), expired certificate. Legal threat social engineering with very high exfiltration behavior."
D98,Malicious,0.93,"Confirmed high-risk malicious threat: extremely high metadata suspicious score (0.5901), behavioral sandbox activity (0.0094), very high exfiltration behavior (0.9204), process execution via acrobat.exe, link click request, high SMTP IP reputation concerns (0.8673), urgency targeting (1.0), expired certificate, extremely low URL reputation (1.77e-05). PDF-based attack with very high exfiltration behavior."
D99,Warning,0.83,"Warning classification: bank detail update request (BEC risk), high return path reputation concerns (0.7849), urgency targeting (1.0), authentication failures (SPF fail, DMARC temperror), multiple URLs (2) with minimal reputation (0.0002), high content spam score (0.3374). Financial request with infrastructure concerns requires verification."
D100,Malicious,0.95,"High-risk malicious email: extremely high behavioral sandbox score (0.8746), very high exfiltration behavior (0.9641), process execution (winword.exe, powershell.exe), VPN/MFA reset request (credential harvesting), urgency targeting (1.0), high SMTP IP reputation concerns (0.9187), expired certificate, extremely low URL reputation (4.33e-06). Advanced credential harvesting with extremely high behavioral scores."
