Data ID,Classification,Confidence Score,Detailed Justification
D84,Warning,0.85,"Email shows moderate malicious indicators: max_metadata_suspicious_score of 0.47 suggests risky file metadata; sandbox execution with winword.exe/powershell.exe/regsvr32.exe processes indicates potential document-based malware; failed SPF and DMARC authentication (fail/permerror) suggests sender authentication issues; high target role flag (1.0) indicates spear-phishing attempt; multiple behavioral red flags warrant careful monitoring but not immediate blocking."
D85,No Action,0.75,"Email appears benign with minimal risk indicators: very low sender domain reputation issues (3.44e-05); no malicious attachments or suspicious metadata (0.0 scores); passed SPF authentication; wire_transfer request type noted but other indicators don't support malicious intent; low spam score (0.029) and proper authentication results suggest legitimate business communication."
D86,No Action,0.80,"Email shows minimal risk with standard business characteristics: sender domain reputation score of 0.0006 indicates slight concern but within acceptable range; no malicious attachments detected; softfail SPF suggests minor authentication issues but not indicative of malicious intent; high URL reputation score (0.76) indicates legitimate links; no executable attachments or suspicious behavioral patterns; overall profile suggests legitimate email communication."
D87,No Action,0.70,"Email presents low risk profile: moderate sender domain reputation (0.36) requires attention but not blocking; no malicious file attachments or suspicious metadata; failed SPF authentication raises minor concerns; high targeted role flag (1.0) noted but other indicators don't support targeted attack; self-signed SSL certificate detected but overall threat level remains low; suitable for delivery with standard monitoring."
D88,Spam,0.80,"Email exhibits spam characteristics: high sender domain reputation concern (0.499); elevated spam score (0.76) indicates unsolicited content; failed SPF and DKIM authentication suggests sender reputation issues; high site visual similarity to known brand (0.80) indicates potential brand impersonation; failed DMARC combined with authentication failures supports spam classification requiring filtering or quarantine."
D89,Warning,0.75,"Email shows concerning patterns requiring monitoring: sender domain reputation (0.144) raises moderate concerns; failed SPF and DMARC authentication suggests potential spoofing; gift_card_request type combined with high targeted role (1.0) indicates possible social engineering attempt; self-signed SSL certificate and moderate site visual similarity (0.34) to brands warrant cautious handling but not immediate blocking."
D90,Malicious,0.95,"Email demonstrates clear malicious intent: sender_known_malicious flag (1.0) indicates confirmed threat actor; YARA rule match (1) suggests malware signatures detected; max_metadata_suspicious_score (0.029) combined with winword.exe process execution indicates document-based malware; high exfiltration behavior score (0.25) suggests data theft capability; wire_transfer request type in malicious context confirms threat requiring immediate blocking."
D91,Malicious,0.92,"Email shows multiple high-risk malicious indicators: sender_known_malicious flag (1.0) confirms threat actor; significant behavioral sandbox score (0.068) and AMSI suspicion (0.22) indicate active malware; VBScript detection (1) suggests script-based payload; high exfiltration score (0.19) indicates data theft risk; winword.exe process execution with document_download request type confirms active malware delivery requiring immediate blocking."
D92,No Action,0.75,"Email presents minimal security risk: moderate sender domain reputation (0.054) within acceptable range; no malicious attachments or behavioral indicators; no suspicious metadata or processes detected; failed SPF authentication noted but other indicators don't support malicious intent; high URL reputation score (0.28) suggests legitimate links; overall profile indicates standard business communication suitable for delivery."
D93,Warning,0.70,"Email requires monitoring due to mixed signals: very low sender domain reputation but high temporary email likelihood (0.56); no malicious attachments detected; failed SPF but passed DKIM authentication creates authentication ambiguity; sensitive_data_request type combined with high targeted role flag (1.0) suggests potential social engineering; moderate site visual similarity (0.31) warrants careful observation."
D94,Malicious,0.90,"Email exhibits multiple malicious characteristics: significant max_metadata_suspicious_score (0.046) suggests compromised attachments; embedded files (1) with sandbox score (4.74e-19) indicates stealthy payload; winword.exe execution with high max_exfiltration_behavior_score (0.19) suggests data theft malware; meeting_request type used as social engineering vector; high URL reputation concern (0.69) supports malicious classification requiring immediate blocking."
