Data ID,Classification,Confidence Score,Detailed Justification
D3080,Spam,0.85,Link click request with extremely high spam score (0.951) and return path reputation (0.679). Valid SSL and no malicious attachments but behavioral patterns indicate bulk spam campaign.
D3081,Warning,0.75,Bank detail update with expired SSL certificate and QR code present. Low threat scores overall but infrastructure concerns warrant verification before proceeding.
D3082,Malicious,0.95,VPN/MFA reset with VBScript/JavaScript detected, URL decoded spoof detected, and QR code malicious. Multiple suspicious processes including powershell.exe confirm credential theft attempt.
D3083,Malicious,0.90,VPN/MFA reset with VBScript/JavaScript and network call on open detected. Self-signed SSL and multiple processes indicate active malware attempting C2 communication.
D3084,Malicious,0.95,Extremely high metadata suspicious score (0.989) with 2 IOCs detected. Multiple processes and failed DMARC indicate sophisticated malware delivery mechanism.
D3085,Warning,0.70,Invoice verification with return path mismatch and known malicious. Self-signed SSL but otherwise low threat scores. Verify sender through alternate channel.
D3086,Malicious,0.85,Contains 6 YARA rule matches and ActiveX objects detected. High SMTP IP geo risk (0.547) with valid SSL but behavioral analysis confirms malware delivery.
D3087,Malicious,0.90,High metadata suspicious score (0.412) with ActiveX objects and multiple processes including regsvr32.exe. Self-signed SSL confirms malicious infrastructure.
D3088,No Action,0.85,Wire transfer request with valid SSL and clean behavioral profile. Good sender reputation (0.515) despite high SSL certificate reputation suggests legitimate communication.
D3089,Warning,0.75,Sender known malicious with expired SSL certificate but very low threat scores otherwise. High spam score (0.644) suggests compromised legitimate account.
D3090,No Action,0.90,Clean profile with valid SSL and excellent authentication. Low threat scores across all indicators confirm safe communication.
D3091,No Action,0.85,SMTP IP known malicious flag but all other indicators extremely clean. Valid SSL and passing authentication suggest false positive on IP reputation.
D3092,Spam,0.80,Gift card request with QR code present and high temp email likelihood (0.308). Valid SSL but behavioral patterns indicate commercial spam.
D3093,Malicious,0.95,Wire transfer fraud with DMARC enforced, high behavioral sandbox score (0.613), and expired SSL. High sender reputation (0.797) indicates spoofed trusted domain.
