Data ID,Classification,Confidence Score,Detailed Justification
D3152,Malicious,0.90,VPN/MFA reset with high metadata suspicious score (0.424) and high exfiltration behavior (0.680). Multiple suspicious processes (winword.exe, powershell.exe) and passing authentication cannot mask credential theft attempt.
D3153,Warning,0.75,Wire transfer with return path known malicious and failed DMARC. However, clean behavioral profile and no suspicious processes suggest potentially compromised legitimate account rather than targeted attack.
D3154,Malicious,0.95,Gift card request with extremely high exfiltration behavior (0.991) and multiple processes (winword.exe, powershell.exe, regsvr32.exe). Failed authentication and high sender reputation confirm sophisticated fraud attempt.
D3155,Malicious,0.85,High AMSI score (0.723) with excel.exe process and high exfiltration behavior (0.429). Self-signed SSL and failed authentication confirm macro-based malware delivery.
D3156,Warning,0.80,Multiple suspicious processes (winword.exe, powershell.exe) with high exfiltration behavior (0.451). Failed authentication but no malicious attachments or high metadata scores require verification.
D3157,Warning,0.70,URL decoded spoof detected with invoice verification request and high sender reputation (0.772). Failed authentication but otherwise clean profile suggests verification needed.
D3158,Warning,0.75,File hash malicious with winword.exe and powershell.exe processes detected. Valid SSL and passing authentication but malicious file hash requires investigation.
D3159,Malicious,0.90,High metadata suspicious score (0.608) with high exfiltration behavior (0.612). Multiple processes including regsvr32.exe and passing authentication cannot conceal data theft attempt.
D3160,Spam,0.80,Wire transfer with extremely high spam score (0.896) and high temp email likelihood (0.711). Valid SSL but revoked certificate and behavioral patterns indicate bulk spam rather than targeted fraud.
D3161,No Action,0.85,Clean profile with no suspicious processes or behaviors. Valid SSL and authentication passing. High sender reputation (0.096) confirms legitimate communication.
D3162,No Action,0.80,DMARC enforced with high sender reputation (0.697) and clean behavioral profile. Self-signed SSL but no malicious indicators suggest legitimate sender with poor infrastructure.
D3163,Warning,0.75,Reply path known malicious with unsubscribe link present and self-signed SSL. However, clean behavioral profile and no processes suggest compromised infrastructure monitoring needed.
D3164,Spam,0.75,Gift card request with high spam score (0.134) and high sender reputation (0.977). No malicious processes or behaviors suggest commercial spam rather than fraud.
D3165,Malicious,0.90,Wire transfer with sender spoof detected, high behavioral sandbox score (0.544), and high exfiltration behavior (0.720). Failed authentication and self-signed SSL confirm BEC attack.
D3166,Malicious,0.95,Document download with extremely high metadata suspicious score (0.717) and YARA rule match. High exfiltration behavior (0.410) and multiple processes confirm sophisticated malware delivery.
D3167,Warning,0.70,Reply path known malicious with revoked SSL certificate and failed authentication trilogy. However, clean behavioral profile suggests compromised infrastructure requiring monitoring.
D3168,No Action,0.90,Sensitive data request with clean behavioral profile and valid SSL. Excellent authentication (SPF/DKIM pass) and minimal threat scores confirm legitimate HR communication.
D3169,Malicious,0.85,Meeting request with sender spoof and high behavioral sandbox score (0.233). High site visual similarity (0.954) and high sender reputation indicate sophisticated phishing mimicking trusted brand.
