Data ID,Classification,Confidence Score,Detailed Justification
D2792,Warning,0.84,Gift card request with domain threat, urgency keywords, and very high URL rendering score (0.68); potential social engineering
D2793,Malicious,0.92,Multiple malicious attachments (3) with behavioral score (0.57) and wire transfer context; high confidence threat
D2794,Malicious,0.89,High behavioral score (0.76) with document download context and suspicious behavioral patterns
D2795,No Action,0.79,Low threat indicators with URL spoofing detected but no clear malicious signals
D2796,Warning,0.81,Return path known malicious with sensitive data request context; requires monitoring
D2797,Malicious,0.86,High attachment threat (0.02) with meeting request context and high URL rendering score (0.32)
D2798,Malicious,0.91,Network call on open detected with high SMTP IP reputation (0.95) and image ratio concerns (1.1)
D2799,No Action,0.83,Low threat indicators across all metrics; no significant malicious signals detected
D2800,Malicious,0.94,DMARC enforced with IOC matches (2), very high execution time (68.7), and legal threat context
D2801,Malicious,0.93,High attachment threat (0.23) with IOC matches (5), embedded files (2), domain threat, and link click context
D2802,Warning,0.82,Reply path known malicious with bank detail update and high content spam score (0.42)
D2803,Malicious,0.96,Very high attachment threat (0.68) with IOC matches (8), network call on open, VPN reset context, and image ratio (1.1)
D2804,Malicious,0.88,Macro-enabled document with high content spam score (0.87) and VPN reset context
D2805,Malicious,0.90,Packer detected with high AMSI score (0.55), embedded files (2), and behavioral patterns
D2806,No Action,0.78,Invoice verification with low threat indicators; no significant malicious signals
D2807,Malicious,0.93,High sender reputation (0.47) with macro-enabled document, very high content spam score (0.64), and high URL reputation (0.54)
D2808,Malicious,0.94,High attachment threat (0.05) with very high execution time (21.8) and high content spam score (0.53)
D2809,Warning,0.80,Wire transfer context with moderate sender reputation (0.15) and low threat indicators
D2810,No Action,0.77,Low threat indicators across all metrics; no significant malicious signals detected
D2811,Warning,0.79,Moderate sender reputation (0.13) with high urgency score (0.20) but low overall threats
D2812,No Action,0.76,Low threat indicators with URL shortener detected but no clear malicious signals
D2813,Warning,0.83,Gift card request with user marked as spam and moderate threat indicators
D2814,Malicious,0.95,Very high attachment threat (0.63) with malicious attachment count (1), has executable attachment, high AMSI score (0.52), and wire transfer context
D2815,Malicious,0.92,High attachment threat (0.32) with has executable attachment, very high content spam score (0.87), and document download context
D2816,Warning,0.78,Moderate sender reputation (0.23) with high urgency score (0.04) and revoked SSL certificate
D2817,Warning,0.82,High reply path reputation (0.67) with sensitive data request and moderate threat indicators
D2818,Malicious,0.89,High attachment threat (0.03) with malicious attachment count (1), unscannable attachment, meeting request context
D2819,Malicious,0.87,High attachment threat (0.05) with very high AMSI score (0.75), exploit detection, and high URL rendering (0.32)
D2820,No Action,0.79,High spam likelihood (0.22) with very high SMTP IP reputation (0.80) but low threat indicators
D2821,Malicious,0.88,High attachment threat (0.34) with legal threat context and embedded file detected
D2822,Malicious,0.95,High attachment threat (0.03) with IOC matches (7), very high behavioral score (0.72), very high SMTP IP reputation (0.99), and link click context
D2823,Warning,0.80,Bank detail update with very high SMTP IP reputation (0.95) but low overall threat indicators
D2824,Malicious,0.91,Very high sender reputation (0.77) with high behavioral score (0.50) and very high content spam score (0.98)
D2825,Warning,0.85,High sender reputation (0.33) with urgent callback context and very high content spam score (0.77)
D2826,Malicious,0.93,DMARC enforced, packer detected, IOC match detected, with high attachment threat (0.05) and high URL rendering (0.29)
