Data ID,Classification,Confidence Score,Detailed Justification
D2000,No Action,0.95,Email shows low risk indicators with no malicious attachments or exploits. Good sender reputation score (4.46e-07) near 0 indicates low reputation but not malicious. No executable attachments or suspicious behaviors detected. SPF passes and TLS encryption used. No urgency keywords or suspicious request types present.
D2001,Spam,0.85,Email exhibits typical spam characteristics with moderate sender reputation (0.38) and low temporary email likelihood. Contains sensitive data request type which is suspicious. SPF fails but no malicious attachments detected. Has marketing indicators with no executable files or exploits present.
D2002,Malicious,0.92,Clear malicious indicators including file metadata suspicious score (0.0498), high exfiltration behavior score (0.624), 3 YARA rule matches, and 7 embedded files. Contains winword.exe parent process and meeting request type. DMARC fails and moderate sender reputation issues indicate sophisticated attack.
D2003,Malicious,0.94,Strong malicious signals with file hash marked malicious, high metadata suspicious score (0.131), very high exfiltration score (0.599), and 7 embedded files. SPF softfail and DKIM/DMARC failures indicate spoofing. Self-signed SSL certificate and high URL reputation risk score (0.83) confirm phishing attempt.
D2004,No Action,0.88,Low risk profile with no malicious attachments or suspicious behaviors. Good sender reputation and no executable files. SPF passes with valid SSL certificate. Domain marked for URL generation but overall clean security posture with minimal threat indicators.
D2005,Warning,0.75,Mixed signals with executable attachment present, moderate suspicious scores, and VBScript detected. ActiveX objects found with exfiltration behavior (0.295). However, SPF passes and no file hashes marked malicious. Legal threat request type raises concern but not definitively malicious.
D2006,Malicious,0.89,High metadata suspicious score (0.622), very high behavioral sandbox score (0.626), and extreme exfiltration score (0.701). Contains embedded file with acrobat.exe process. Link click request type with moderate URL risks. Pattern indicates targeted phishing with malware delivery.
D2007,Warning,0.72,Bank detail update request with high temporary email likelihood (0.661) and SPF/DMARC failures. However, no malicious attachments or exploits detected. Moderate spam indicators suggest attempted fraud but lacks sophisticated attack vectors.
D2008,Malicious,0.91,Extremely high behavioral sandbox score (0.901) and exfiltration score (0.705) with multiple suspicious processes including powershell.exe. VPN/MFA reset request indicates credential theft attempt. Return path mismatch and DMARC failure confirm sophisticated phishing attack.
D2009,Warning,0.78,Wire transfer request with moderate sender reputation issues and self-signed SSL certificate. SPF passes but DMARC fails. No malicious attachments detected but financial request type with reputation concerns warrants caution.
D2010,Malicious,0.90,Multiple red flags including powershell.exe and regsvr32.exe processes, high exfiltration score (0.516), and 7 embedded files. Gift card request scam with SPF softfail. Pattern consistent with business email compromise attack.
D2011,Warning,0.76,Moderate sandbox score (0.486) and exfiltration behavior (0.637) with excel.exe process. DMARC fails but no malicious file hashes. Mixed signals suggest potential threat but not conclusively malicious.
D2012,Malicious,0.87,Contains embedded file with powershell.exe process, moderate exfiltration score (0.405), and high spam likelihood. SPF softfail with suspicious URL patterns. Combination indicates malware delivery attempt.
D2013,No Action,0.82,Invoice verification request with clean attachment profile. No malicious behaviors or exploits detected. SPF passes with valid SSL. Low risk despite request type due to absence of technical threat indicators.
D2014,Malicious,0.88,High metadata suspicious score (0.596) and extreme exfiltration score (0.863) with powershell.exe process. Return path marked malicious with reputation issues. Clear indicators of advanced persistent threat.
D2015,Malicious,0.93,Malicious attachment detected with 6 YARA matches, return and reply paths marked malicious. High sandbox and exfiltration scores with multiple suspicious processes. Sophisticated multi-stage attack confirmed.
D2016,No Action,0.79,Wire transfer request but clean technical profile. No malicious attachments or behaviors. SPF passes with all authentication checks. Financial request alone insufficient for malicious classification without technical indicators.
D2017,Spam,0.74,High temporary email likelihood (0.128) with moderate spam score. No malicious attachments but SPF/DMARC failures. Appears to be low-sophistication spam rather than targeted attack.
D2018,Warning,0.77,Final URL marked malicious with multiple URL detections. High temporary email likelihood but no malicious attachments. Likely phishing attempt but lacks advanced malware components.
D2019,Spam,0.81,Very high return path reputation score (0.802) indicating known spammer. No malicious attachments detected. SPF passes but pattern consistent with bulk spam operations.
D2020,Warning,0.73,Gift card request with expired SSL certificate and SPF/DMARC failures. No malicious attachments but social engineering attempt likely. Medium confidence due to lack of technical exploit indicators.
D2021,Malicious,0.85,High temporary email likelihood (0.782) with wire transfer request, self-signed SSL, and behavioral indicators. Domain reputation issues and macro-enabled document suggest targeted fraud attempt.
D2022,Warning,0.80,Document download request with low YARA matches and failed authentication. Suspicious but lacks strong malicious indicators. Potential early-stage phishing attempt.
