Data ID,Classification,Confidence Score,Detailed Justification
D2288,Malicious,0.93,Extremely high AMSI score (0.926) with high exfiltration score (0.701), sender spoofing detected, and multiple suspicious processes. Failed SPF/DKIM confirms advanced malware delivery.
D2289,Malicious,0.89,High exfiltration score (0.617) with sender spoofing and multiple suspicious processes including winword.exe and powershell.exe. Failed SPF/DKIM confirms credential theft attack.
D2290,Malicious,0.86,Legal threat targeting high-risk role with failed SPF and urgency keywords. Clean attachment profile but social engineering attack confirmed.
D2291,Warning,0.82,Moderate metadata score (0.074) with unscannable attachment and embedded file. High sender reputation but authentication inconsistencies require investigation.
D2292,Warning,0.75,Failed SPF/DMARC with multiple links detected. Clean attachment profile but authentication failures require investigation.
D2293,Spam,0.79,Invoice verification with high content spam score (0.158) and failed DMARC. High site visual similarity indicates business context spam.
D2294,Malicious,0.89,High exfiltration score (0.799) with embedded files and multiple suspicious processes. Failed DMARC with behavioral anomalies confirms attack.
D2295,Warning,0.76,Expired SSL certificate with moderate return path reputation issues. Clean attachment profile but SSL concerns require investigation.
D2296,Warning,0.74,Expired SSL with multiple links and moderate URL rendering behavior. Clean profile but SSL/URL concerns require investigation.
D2297,Malicious,0.91,Packer detected with high metadata score (0.414), malicious attachment count (2), and multiple suspicious processes. Meeting request spear-phishing confirmed.
D2298,No Action,0.82,Legitimate sensitive data request with clean attachment profile and secure TLS 1.1 encryption. Standard authentication confirms authorized business communication.
D2299,Malicious,0.87,High metadata score (0.155) with high AMSI score (0.110) and extremely high exfiltration score (0.871). Self-signed SSL confirms advanced attack.
D2300,Spam,0.78,User marked as spam with bulk message indicator and valid SSL. Clean attachment profile indicates marketing spam.
D2301,Warning,0.79,Link click with expired SSL and DMARC permerror. High site visual similarity requires investigation for phishing.
D2302,Malicious,0.88,High metadata score (0.339) with high exfiltration score (0.485) and bulk indicator. Failed DMARC confirms sophisticated attack.
D2303,Malicious,0.92,High sender reputation with macro detected and extremely high exfiltration score (0.935). Invoice payment attack confirmed.
D2304,Malicious,0.86,Sender marked malicious with moderate exfiltration score (0.570) and SSL mismatch. Authentication bypass confirms attack.
D2305,Malicious,0.84,Meeting request with failed authentication and multiple URLs. DMARC permerror with social engineering confirmed.
D2306,Malicious,0.90,Return path known malicious with moderate metadata score and multiple URLs. High return path reputation issues confirm attack.
D2307,Warning,0.77,Self-signed SSL with high return path reputation issues and failed DKIM. Clean attachment profile requires investigation.
D2308,Malicious,0.88,Reply path known malicious with high behavioral score (0.357) and SSL mismatch. Gift card request confirms social engineering attack.
D2309,Warning,0.76,Reply path known malicious with high return path reputation issues. Clean attachment profile requires sender investigation.
D2310,Malicious,0.92,Return path known malicious with extremely high metadata score (0.468) and high exfiltration score (0.807). Credential theft confirmed.
D2311,Malicious,0.89,Has executable attachment with high behavioral score (0.403) and YARA match. Bulk messaging with acrobat.exe confirms attack.
D2312,Warning,0.78,Meeting request with return path mismatch and failed SPF. Multiple links require investigation.
D2313,Malicious,0.88,Has executable attachment with multiple YARA matches (2) and high exfiltration score. User marked as spam confirms attack.
D2314,Warning,0.77,SSL mismatch with high URL rendering behavior and failed DKIM. Certificate issues require investigation.
D2315,Warning,0.75,Expired SSL with high return path reputation issues and URL shortener. Failed SPF requires investigation.
D2316,Malicious,0.94,Sender spoofing with extremely high behavioral score (0.532) and macro detected. Document download attack confirmed.
D2317,Malicious,0.87,High exfiltration score (0.473) with multiple processes and high URL rendering behavior. Behavioral attack confirmed.
D2318,Warning,0.78,Self-signed SSL with domain known malicious and bulk indicator. Infrastructure concerns require investigation.
D2319,Malicious,0.86,Moderate metadata score with unscannable attachment and exploit pattern detected. Failed authentication confirms evasion attack.
