Data ID,Classification,Confidence Score,Detailed Justification
D2432,Malicious,0.92,Sender spoofing detected with high AMSI score (0.135) and extremely high exfiltration score (0.746). VPN/MFA reset request with multiple suspicious processes including winword.exe and powershell.exe confirms credential theft attack.
D2433,Malicious,0.89,High metadata score (0.371) with high behavioral score (0.182) and high AMSI score (0.228). Failed DKIM/DMARC authentication with multiple suspicious processes confirms advanced attack.
D2434,Spam,0.77,Invoice verification request with high content spam score (0.444) and failed DKIM/DMARC authentication. Clean attachment profile indicates business context spam.
D2435,Malicious,0.91,High metadata score (0.242) with extremely high AMSI score (0.616) and high exfiltration score (0.297). Multiple suspicious processes with malicious QR code confirms advanced attack.
D2436,Malicious,0.88,High exfiltration score (0.628) with unscannable attachment and multiple suspicious processes including regsvr32.exe. Failed authentication with self-signed SSL confirms evasion attack.
D2437,Spam,0.76,Wire transfer request with SSL mismatch and failed SPF authentication. High site visual similarity (0.531) indicates financial spam without advanced threats.
D2438,Warning,0.75,Expired SSL certificate with failed DMARC authentication. Clean attachment profile but SSL and authentication concerns require investigation.
D2439,Warning,0.79,Return path known malicious with high temporary email likelihood (0.294) and failed SPF/DKIM. Authentication inconsistencies require investigation.
D2440,No Action,0.84,Legitimate business communication with clean attachment profile and secure TLS 1.3 connection. Standard SPF/DKIM authentication confirms authorized correspondence.
D2441,Spam,0.81,Gift card request with extremely high content spam score (0.726) and self-signed SSL. DMARC temperror with multiple links indicates spam campaign.
D2442,Malicious,0.87,High behavioral score (0.492) with high exfiltration score (0.365) and wire transfer request. Expired SSL with failed authentication confirms financial attack.
D2443,Malicious,0.93,High metadata score (0.157) with high behavioral score (0.615) and extremely high exfiltration score (0.995). Document download with user marked as spam confirms sophisticated attack.
D2444,Warning,0.78,High temporary email likelihood (0.126) with failed DMARC authentication. Clean attachment profile but authentication concerns require investigation.
D2445,Warning,0.76,Sensitive data request with failed SPF authentication and multiple links (3). Clean attachment profile but authentication failures require investigation.
D2446,Malicious,0.89,High metadata score (0.491) with high exfiltration score (0.416) and meeting request. Failed SPF authentication confirms spear-phishing attack.
D2447,Malicious,0.88,Extremely high exfiltration score (0.684) with embedded file and high content spam score (0.440). Failed DKIM authentication confirms advanced attack.
D2448,Warning,0.77,DMARC enforced with failed SPF/DKIM and multiple links (4). Clean attachment profile but authentication failures require investigation.
D2449,Malicious,0.91,Extremely high AMSI score (0.683) with high exfiltration score (0.574) and legal threat. Failed SPF authentication confirms targeted attack.
D2450,Malicious,0.92,Extremely high metadata score (0.739) with high temporary email likelihood (0.404) and embedded file. Link click request confirms advanced phishing attack.
D2451,Warning,0.80,DMARC enforced with high temporary email likelihood (0.200) and bank detail update. Failed SPF/DKIM authentication requires investigation.
