Data ID,Classification,Confidence Score,Detailed Justification
D3296,Malicious,0.90,High metadata suspicious score (0.599) with high exfiltration behavior (0.247) and multiple processes (winword.exe, powershell.exe). High sender reputation (0.719) indicates compromised trusted domain for malware delivery.
D3297,Warning,0.75,Invoice verification with high sender reputation (0.616) and self-signed SSL but clean behavioral profile. High site visual similarity (0.786) requires verification before processing.
D3298,Malicious,0.85,High metadata suspicious score (0.488) with 2 IOCs detected and high exfiltration behavior (0.506). Multiple processes (winword.exe, powershell.exe) confirm malware delivery attempt.
D3299,Malicious,0.85,High metadata suspicious score (0.157) with QR code present and high behavioral sandbox score (0.377). Multiple processes including regsvr32.exe confirm sophisticated malware delivery.
D3300,Warning,0.75,Return path known malicious with high temp email likelihood (0.346) and wire transfer request. Clean behavioral profile but infrastructure concerns require verification.
D3301,Warning,0.70,1 URL detected with expired SSL certificate but clean behavioral profile. Failed authentication suggests verification needed through alternate channel.
D3302,Warning,0.75,High sender reputation (0.681) with failed authentication trilogy but clean behavioral profile. Valid SSL suggests verification needed before processing.
D3303,Warning,0.70,High sender reputation (0.515) with high temp email likelihood (0.329) and failed authentication. Clean behavioral profile but infrastructure concerns warrant monitoring.
D3304,Spam,0.80,Gift card request with high URL reputation score (0.455) and clean behavioral profile. Valid SSL but behavioral patterns indicate commercial spam rather than fraud.
D3305,Malicious,0.85,Wire transfer with high metadata suspicious score (0.180) and QR code present. High URL reputation score (0.401) and winword.exe process confirm fraud attempt.
D3306,Warning,0.80,Document download with high sender reputation (0.338) and QR code malicious. Valid SSL and clean authentication but mixed signals require verification.
D3307,Warning,0.75,High sender reputation (0.859) with 1 URL detected but clean behavioral profile. Failed DKIM suggests verification needed before processing.
D3308,Warning,0.70,Sensitive data request with high site visual similarity (0.919) but clean behavioral profile. Valid SSL requires verification before processing sensitive information.
D3309,Malicious,0.95,Meeting request with high metadata suspicious score (0.640) and ActiveX objects detected. High exfiltration behavior (0.627) and high spam score (0.804) confirm sophisticated phishing attack.
D3310,Malicious,0.85,High metadata suspicious score (0.186) with high temp email likelihood (0.776) and high behavioral sandbox score (0.355). URL shortener detected and self-signed SSL confirm phishing.
D3311,Warning,0.70,Known malicious sender but clean behavioral profile and valid SSL. Low threat scores suggest false positive requiring verification through alternate channel.
D3312,Malicious,0.90,Legal threat with high metadata suspicious score and extremely high exfiltration behavior (0.832). Outlook.exe process and behavioral patterns confirm sophisticated BEC attack.
D3313,Malicious,0.85,Link click request with malicious attachment count (1) and unscannable attachment present. Multiple embedded files (4) and self-signed SSL confirm evasive malware delivery.
D3314,Warning,0.70,Bank detail update with expired SSL certificate and high return path reputation (0.378). Clean behavioral profile suggests verification needed through alternate channel.
D3315,Malicious,0.90,VPN/MFA reset with high metadata suspicious score (0.099) and high exfiltration behavior (0.492). Self-signed SSL and multiple processes confirm credential theft attempt.
D3316,Warning,0.75,Sensitive data request with return path known malicious but clean behavioral profile. Valid SSL and low threat scores suggest compromised infrastructure monitoring.
D3317,Malicious,0.95,Meeting request with 8 malicious attachments, executable attachment, and extremely high AMSI score (0.879). High exfiltration behavior (0.573) confirms sophisticated malware delivery.
D3318,Malicious,0.85,Sender spoof detected with high metadata suspicious score (0.140) and high spam score (0.555). Self-signed SSL and behavioral patterns confirm phishing attack.
D3319,Warning,0.75,DMARC enforced with revoked SSL certificate and high spam score (0.703). Clean behavioral profile but infrastructure concerns require verification.
D3320,Malicious,0.95,Legal threat with extremely high metadata suspicious score (0.848) and network call on open. Multiple malicious indicators including AMSI score (0.951) confirm advanced BEC malware.
D3321,Malicious,0.90,Link click request with high metadata suspicious score (0.696) and self-signed SSL. High return path reputation (0.626) indicates compromised trusted domain for credential harvesting.
D3322,Warning,0.75,Bank detail update with reply path known malicious and high sender reputation (0.516). Clean behavioral profile but infrastructure concerns require verification.
D3323,Malicious,0.95,VPN/MFA reset with high temp email likelihood (0.898) and extremely high exfiltration behavior (0.843). High return path reputation (0.936) indicates compromised trusted domain.
D3324,Malicious,0.85,VPN/MFA reset with YARA rule match and high metadata suspicious score (0.082). High exfiltration behavior (0.495) and SSL mismatch confirm credential theft attempt.
D3325,Malicious,0.90,2 IOCs detected with high sender reputation (0.465) and extremely high exfiltration behavior (0.907). High spam score (0.505) indicates compromised trusted domain for malware delivery.
D3326,Warning,0.75,Invoice verification with high sender reputation (0.386) and 1 URL detected. Clean behavioral profile but failed authentication requires verification.
D3327,Malicious,0.85,DMARC enforced with file hash maliguous and high metadata suspicious score (0.287). Reply path differs from sender and multiple processes confirm malware delivery.
D3328,Malicious,0.85,2 IOCs detected with high temp email likelihood (0.241) and high exfiltration behavior (0.703). Multiple processes including regsvr32.exe confirm sophisticated malware.
D3329,Warning,0.75,Wire transfer with high sender reputation (0.246) and URL decoded spoof detected. Clean behavioral profile but infrastructure concerns require verification.
D3330,No Action,0.85,Clean behavioral profile with valid SSL and passing authentication. High URL reputation score (0.318) and no malicious indicators confirm legitimate communication.
D3331,Warning,0.70,Known malicious sender with high temp email likelihood (0.092) but clean behavioral profile. Valid SSL suggests verification needed through alternate channel.
D3332,Warning,0.70,Expired SSL certificate with 2 URLs detected but clean behavioral profile. Failed authentication requires sender verification before processing.
D3333,Warning,0.70,Gift card request with expired SSL certificate but clean behavioral profile. Failed authentication suggests verification needed before processing.
D3334,Malicious,0.90,Wire transfer with executable attachment and extremely high exfiltration behavior (0.960). Reply path known malicious and multiple URLs confirm sophisticated fraud attempt.
D3335,Malicious,0.85,Document download with high metadata suspicious score (0.169) and high sender reputation (0.530). High return path reputation (0.475) indicates compromised trusted domain for malware.
D3336,Warning,0.75,High temp email likelihood (0.801) with high sender reputation (0.741) but clean behavioral profile. Valid SSL suggests verification needed before processing.
D3337,Warning,0.75,Sensitive data request with high sender reputation (0.373) and unsubscribe link present. Self-signed SSL but clean behavioral profile requires verification.
D3338,Malicious,0.85,Meeting request with high metadata suspicious score and high exfiltration behavior (0.757). Expired SSL and multiple processes confirm phishing attack.
D3339,Malicious,0.90,Extremely high exfiltration behavior (0.818) with high sender reputation (0.510) and high return path reputation (0.773). Valid SSL cannot mask sophisticated data theft attempt.
D3340,Warning,0.75,High sender reputation (0.163) with high SMTP IP geo risk (0.782) but clean behavioral profile. Valid SSL requires verification before processing.
